"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Luck","2009","supporting","No","","tmdb, wikidata","0.75","Added","20290","tt1242782"
"Veera Simha Reddy","2023","supporting","No","","tmdb, wikidata","0.75","Added","896669","tt15387190"
"Hey Ram","2000","supporting","No","","tmdb","0.50","Added","60579",""
"Hi Nanna","2023","cameo","No","","tmdb","0.50","Added","1068452",""
"Once Upon a Warrior","2011","lead","Yes","","tmdb, wikidata","0.75","Added","72440","tt1621994"
"Dil Toh Baccha Hai Ji","2011","supporting","No","","tmdb, wikidata","0.75","Added","55386","tt1727496"
"Oh My Friend","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","86717","tt2088847"
"7Aum Arivu","2011","lead","Yes","","tmdb, wikidata","0.75","Added","86718","tt1725795"
"3","2012","lead","Yes","","tmdb, wikidata","0.75","Added","79660","tt2123129"
"Gabbar Singh","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","111836","tt2304655"
"Balupu","2013","lead","Yes","","tmdb, wikidata","0.75","Added","204275","tt2654480"
"D-Day","2013","supporting","No","","tmdb","0.50","Added","206851",""
"Ramaiya Vastavaiya","2013","lead","Yes","","tmdb","0.50","Exists","208036",""
"Yevadu","2014","supporting","No","","tmdb, wikidata","0.75","Added","215248","tt2211173"
"Salaar: Part 1 - Ceasefire","2023","lead","Yes","","tmdb","0.50","Added","770906",""
"Ramayya Vasthavayya","2013","lead","Yes","","tmdb","0.50","Added","227056",""
"Race Gurram","2014","lead","Yes","","tmdb, wikidata","0.75","Exists","262227","tt3142764"
"Waltair Veerayya","2023","lead","Yes","","tmdb, wikidata","0.75","Exists","989017","tt15281402"
"The Eye","2023","lead","Yes","","tmdb","0.50","Exists","1192906",""
"Poojai","2014","lead","Yes","","tmdb","0.50","Exists","297125",""
"Tevar","2015","cameo","No","","tmdb","0.50","Added","312809",""
"Puli","2015","supporting","No","","tmdb, wikidata","0.75","Added","330420","tt3803860"
"Gabbar Is Back","2015","lead","Yes","","tmdb, wikidata","0.75","Added","337876","tt2424988"
"Srimanthudu","2015","lead","Yes","","tmdb, wikidata","0.75","Exists","353533","tt4727512"
"Vedalam","2015","lead","Yes","","tmdb","0.50","Added","362150",""
"Welcome Back","2015","lead","Yes","","tmdb","0.50","Exists","357563",""
"Aagadu","2014","cameo","No","","tmdb","0.50","Added","294413",""
"Si 3","2017","lead","Yes","","tmdb","0.50","Added","376440",""
"Rocky Handsome","2016","lead","Yes","","tmdb, wikidata","0.75","Added","376873","tt3410408"
"Premam","2016","lead","Yes","","tmdb","0.50","Exists","409255",""
"Katamarayudu","2017","lead","Yes","","tmdb, wikidata","0.75","Added","440794","tt6522398"
"Behen Hogi Teri","2017","lead","Yes","","tmdb, wikidata","0.75","Exists","454769","tt6537508"
"Laabam","2021","lead","Yes","","tmdb, wikidata","0.75","Exists","613713","tt10300450"
"Devi","2020","lead","Yes","","tmdb","0.50","Exists","679994",""
"Yaara","2020","lead","Yes","","tmdb, wikidata","0.75","Exists","720796","tt3698454"
"Putham Pudhu Kaalai","2020","supporting","No","","tmdb, wikidata","0.75","Added","749032","tt13087958"
"Vakeel Saab","2021","lead","Yes","","tmdb","0.50","Exists","673732",""
"Krack","2021","lead","Yes","","tmdb","0.50","Exists","784572",""
"The Power","2021","lead","Yes","","tmdb, wikidata","0.75","Exists","784167","tt13802376"
"Coolie","2025","supporting","No","","tmdb, wikidata","0.75","Added","1153399","tt27441481"
"Aakasam Lo Oka Tara","2026","supporting","No","","tmdb","0.50","Added","1322273",""
"D Day","2013","supporting","No","","wikidata","0.50","Added","","tt2385104"
"Ramaiya Vasta Vaiya","2013","supporting","No","","wikidata","0.50","Added","","tt2357926"
"Vedhalam","2015","supporting","No","","wikidata","0.50","Added","","tt5178278"
"'Salaar: Part 2 – Shouryanga Parvam","2023","supporting","No","","wikidata","0.50","Added","","tt13927994"
