"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Sravana Sandhya","1986","lead","Yes","","tmdb","0.50","Added","1118286",""
"Punyavathi","1967","supporting","No","","tmdb","0.50","Added","929352",""
"Kalam Marindi","1972","lead","Yes","","tmdb, wikidata","0.75","Added","933270","tt0325672"
"Jeevana Jyothi","1975","lead","Yes","","tmdb, wikidata","0.75","Added","307922","tt0269398"
"Gorintaku","1979","lead","Yes","","tmdb, wikidata","0.75","Exists","933487","tt0262447"
"Doshi Nirdoshi","1990","lead","Yes","","tmdb","0.50","Exists","1133839",""
"Naa Thammudu","1971","lead","Yes","","tmdb","0.50","Added","964298",""
"Lava Kusa","1963","supporting","No","","tmdb","0.50","Added","183167",""
"Illali Korikalu","1982","lead","Yes","","tmdb","0.50","Exists","988191",""
"Evandi Aavida Vachindi","1993","lead","Yes","","tmdb, wikidata","0.75","Exists","1191779","tt0401899"
"Iddaru Dongalu","1984","lead","Yes","","tmdb","0.50","Added","995465",""
"Bangaru Chellelu","1979","lead","Yes","","tmdb","0.50","Added","996002",""
"Desa Drohulu","1964","supporting","No","","tmdb","0.50","Added","997841",""
"Daiva Balam","1959","lead","Yes","","tmdb","0.50","Added","997854",""
"Jagath Kantrilu","1971","lead","Yes","","tmdb","0.50","Exists","997899",""
"Sarpayagam","1991","lead","Yes","","tmdb","0.50","Exists","278181",""
"Mosagadu","1980","lead","Yes","","tmdb, wikidata","0.75","Exists","279362","tt0246089"
"Ajeyudu","1987","lead","Yes","","tmdb","0.50","Added","279513",""
"Girija Kalyanam","1990","lead","Yes","","tmdb","0.50","Added","1229858",""
"Swayamvaram","1982","lead","Yes","","tmdb","0.50","Added","1229862",""
"Seetha Rama Kalyanam","1961","supporting","No","","tmdb","0.50","Added","1262244",""
"Veerabhimanyu","1965","lead","Yes","","tmdb, wikidata","0.75","Added","262396","tt1373253"
"Sri Krishna Pandaveeyam","1966","supporting","No","","tmdb","0.50","Added","89832",""
"Desa Drohulu","1973","supporting","No","","tmdb","0.50","Added","303054",""
"Paramanandayya Sishyula Katha","1966","supporting","No","","tmdb","0.50","Added","274282",""
"Sri Krishnavataram","1967","supporting","No","","tmdb","0.50","Added","414241",""
"Mahamantri Thimmarusu","1962","supporting","No","","tmdb","0.50","Added","86140",""
"Maayani Mamata","1970","lead","Yes","","tmdb","0.50","Added","307574",""
"Chandipriya","1980","lead","Yes","","tmdb","0.50","Added","1301220",""
"Desamante Manushuloyi","1970","lead","Yes","","tmdb, wikidata","0.75","Added","395727","tt0261644"
"Narthanasala","1963","supporting","No","","tmdb","0.50","Added","402068",""
"Nindu Hrudayalu","1969","lead","Yes","","tmdb","0.50","Added","420502",""
"Sampoorna Ramayanam","1972","lead","Yes","","tmdb","0.50","Added","1276585",""
"Sattam Oru Sathurangam","1988","supporting","No","","tmdb","0.50","Added","234218",""
"Balarama Krishnulu","1992","lead","Yes","","tmdb, wikidata","0.75","Exists","528922","tt0292437"
"Bhishma","1962","supporting","No","","tmdb","0.50","Added","307392",""
"Goodachari 116","1966","supporting","No","","tmdb","0.50","Added","302158",""
"Sampoorna Premayanam","1984","lead","Yes","","tmdb","0.50","Exists","663107",""
"Ashwamedham","1992","lead","Yes","","tmdb","0.50","Added","698345",""
"Karnan","1964","supporting","No","","tmdb","0.50","Added","102129",""
"Chaduvukunna Ammayilu","1963","supporting","No","","tmdb","0.50","Added","744826",""
"Chelleli Kapuram","1971","lead","Yes","","tmdb, wikidata","0.75","Added","304965","tt0269079"
"Private Master","1967","supporting","No","","tmdb","0.50","Added","319789",""
"Devatha","1982","lead","Yes","","tmdb","0.50","Exists","808494",""
"Tahsildar Gari Ammayi","1971","lead","Yes","","tmdb","0.50","Exists","1360935",""
"Bangaru Panjaram","1969","lead","Yes","","tmdb","0.50","Added","301075",""
"Soggadu","1975","lead","Yes","","tmdb, wikidata","0.75","Added","319809","tt0155188"
"Manchi Manushulu","1974","lead","Yes","","tmdb, wikidata","0.75","Added","1363706","tt0390207"
