"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Filmfare Awards South","1995","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actress","1996","lead","Yes","","wikipedia","0.50","Exists","",""
"Karnataka State Film Awards","1998","lead","Yes","","wikipedia","0.50","Exists","",""
"Filmfare Awards South","1999","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actress - Tamil","2001","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Supporting Actress - Tamil","2002","lead","Yes","","wikipedia","0.50","Exists","",""
"National Film Awards","2003","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actress – Kannada","2004","lead","Yes","","wikipedia","0.50","Exists","",""
"Mayalodu","1993","supporting","No","","wikidata","0.50","Exists","","tt0267738"
"Ponnumani","1993","supporting","No","","wikidata","0.50","Exists","","tt0318586"
"Rajendrudu Gajendrudu","1993","supporting","No","","wikidata","0.50","Exists","","tt0267869"
"Hello Brother","1994","supporting","No","","wikidata","0.50","Exists","","tt0282554"
"Number One","1994","supporting","No","","wikidata","0.50","Added","","tt0267790"
"Madam","1994","supporting","No","","wikidata","0.50","Added","","tt0252671"
"Ammoru","1995","supporting","No","","wikidata","0.50","Exists","","tt0264357"
"Pedarayudu","1995","supporting","No","","wikidata","0.50","Exists","","tt0305952"
"Sipayi","1996","supporting","No","","wikidata","0.50","Added","","tt13802196"
"Intlo Illalu Vantintlo Priyuralu","1996","supporting","No","","wikidata","0.50","Exists","","tt1579580"
"Dongaata","1997","supporting","No","","wikidata","0.50","Exists","","tt1579756"
"Taraka Ramudu","1997","supporting","No","","wikidata","0.50","Exists","","tt1579887"
"Anthapuram","1998","supporting","No","","wikidata","0.50","Exists","","tt0275925"
"Choodalani Vundi","1998","supporting","No","","wikidata","0.50","Exists","","tt0245835"
"Kaathala Kaathala","1998","supporting","No","","wikidata","0.50","Added","","tt1263790"
"Doni Sagali","1998","supporting","No","","wikidata","0.50","Added","","tt15036404"
"Padayappa","1999","supporting","No","","wikidata","0.50","Added","","tt0213969"
"Anthapuram","1999","supporting","No","","wikidata","0.50","Exists","",""
"Mannavaru Chinnavaru","1999","supporting","No","","wikidata","0.50","Added","","tt12458854"
"Raja","1999","supporting","No","","wikidata","0.50","Exists","","tt1575666"
"Sooryavansham","1999","supporting","No","","wikidata","0.50","Exists","","tt0214178"
"Premaku Velayara","1999","supporting","No","","wikidata","0.50","Added","","tt1575660"
"Annayya","2000","supporting","No","","wikidata","0.50","Exists","","tt0239236"
"Azad","2000","supporting","No","","wikidata","0.50","Exists","","tt0278274"
"Jayam Manade Raa","2000","supporting","No","","wikidata","0.50","Added","","tt1575576"
"Ravanna","2000","supporting","No","","wikidata","0.50","Exists","","tt20246698"
"9 Nelalu","2001","supporting","No","","wikidata","0.50","Exists","","tt0367461"
"Devi Putrudu","2001","supporting","No","","wikidata","0.50","Exists","","tt0239341"
"Thavasi","2001","supporting","No","","wikidata","0.50","Exists","","tt1740549"
"Sri Manjunatha","2001","supporting","No","","wikidata","0.50","Exists","","tt0249783"
"Dweepa","2002","supporting","No","","wikidata","0.50","Added","","tt0330241"
"Ivan","2002","supporting","No","","wikidata","0.50","Exists","","tt2227574"
"Premaku Swagatham","2002","supporting","No","","wikidata","0.50","Added","","tt4899364"
"Yathrakarude Sradhakku","2002","supporting","No","","wikidata","0.50","Added","","tt0358295"
"Chokka Thangam","2003","supporting","No","","wikidata","0.50","Exists","","tt8938678"
"Kilichundan Mampazham","2003","supporting","No","","wikidata","0.50","Exists","","tt0363741"
"Apthamitra","2004","supporting","No","","wikidata","0.50","Added","","tt1339248"
