"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Echo","2023","lead","Yes","","tmdb","0.50","Exists","883719",""
"Kannai Nambathe","2023","supporting","No","","tmdb","0.50","Added","904717",""
"Ravanasura","2023","supporting","No","","tmdb","0.50","Added","892269",""
"Asalem Jarigindi","2021","lead","Yes","","tmdb","0.50","Exists","903692",""
"Nanban","2012","lead","Yes","","tmdb, wikidata","0.75","Added","69537","tt2180477"
"Bagheera","2023","supporting","No","","tmdb","0.50","Added","882401",""
"Amala","2023","lead","Yes","","tmdb","0.50","Exists","457031",""
"Drohi","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","78848","tt4318014"
"Roja Koottam","2002","lead","Yes","","tmdb","0.50","Exists","79409",""
"Parthibhan Kanavu","2003","lead","Yes","","tmdb","0.50","Exists","79412",""
"Oru Naal Oru Kanavu","2005","lead","Yes","","tmdb, wikidata","0.75","Exists","79413","tt0455669"
"April Maadhathil","2002","lead","Yes","","tmdb, wikidata","0.75","Exists","99116","tt1621767"
"Kana Kanden","2005","lead","Yes","","tmdb","0.50","Exists","99193",""
"Nippu","2012","lead","Yes","","tmdb","0.50","Added","104069",""
"Police Police","2010","lead","Yes","","tmdb, wikidata","0.75","Added","99623","tt2433078"
"Hero","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","141929","tt2429086"
"Poo","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","111790","tt1476431"
"Sadhurangam","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","112121","tt2084930"
"Maya Puthagam","2024","lead","Yes","","tmdb","0.50","Exists","956103",""
"Paagan","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","146847","tt6747488"
"Buddy","2013","supporting","No","","tmdb","0.50","Added","230100",""
"Anandapuram Diaries","2024","lead","Yes","","tmdb","0.50","Exists","1177652",""
"Coffee With Kadhal","2022","lead","Yes","","tmdb","0.50","Exists","984631",""
"Rasikkum Seemane","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","262555","tt4315998"
"Pindam","2023","lead","Yes","","tmdb","0.50","Exists","1193626",""
"10th Class Diaries","2022","lead","Yes","","tmdb, wikidata","0.75","Exists","994386","tt15723074"
"Uyir","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","263902","tt1435606"
"Mercury Pookkal","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","79417","tt0806118"
"Kizhakku Kadarkarai Salai","2006","lead","Yes","","tmdb","0.50","Exists","79416",""
"Bose","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","269718","tt0421775"
"Varnajalam","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","269720","tt4946168"
"Uppukandam Brothers Back In Action","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","278159","tt2364969"
"Ethiri En 3","2016","lead","Yes","","tmdb","0.50","Exists","280880",""
"Nambiyaar","2016","lead","Yes","","tmdb","0.50","Exists","280945",""
"Aadavari Matalaku Ardhalu Verule","2007","lead","Yes","","tmdb","0.50","Exists","80826",""
"Indira Vizha","2009","lead","Yes","","tmdb, wikidata","0.75","Exists","336830","tt6448200"
"Operation Laila","2024","lead","Yes","","tmdb","0.50","Exists","1245864",""
"Sathamindri Mutham Tha","2024","lead","Yes","","tmdb","0.50","Exists","1248209",""
"Joot","2003","lead","Yes","","tmdb","0.50","Exists","322341",""
"All over the heart","2003","lead","Yes","","tmdb","0.50","Exists","275922",""
"Sowkarpettai","2016","lead","Yes","","tmdb","0.50","Exists","369819",""
"Om Shanthi Om","2015","lead","Yes","","tmdb","0.50","Exists","365811",""
"Bambara Kannaley","2005","lead","Yes","","tmdb, wikidata","0.75","Exists","460849","tt2325541"
"LIE","2017","supporting","No","","tmdb","0.50","Added","463476",""
"Okariki Okaru","2003","lead","Yes","","tmdb, wikidata","0.75","Exists","82264","tt1643238"
"Dhada","2011","lead","Yes","","tmdb","0.50","Added","79819",""
"Rocky: The Revenge","2019","lead","Yes","","tmdb","0.50","Exists","594431",""
"Mirugaa","2021","lead","Yes","","tmdb","0.50","Exists","601256",""
"Kathai Thiraikathai Vasanam Iyakkam","2014","cameo","No","","tmdb","0.50","Added","264327",""
"Ragala 24 Gantallo","2019","supporting","No","","tmdb","0.50","Added","666904",""
"Jai Sena","2021","lead","Yes","","tmdb","0.50","Exists","800595",""
"Y","2021","lead","Yes","","tmdb","0.50","Added","812962",""
"Maha","2022","supporting","No","","tmdb","0.50","Added","567460",""
"Vallamai Tharayo","2008","supporting","No","","tmdb, wikidata","0.75","Added","80232","tt1399615"
"Dinasari","2025","lead","Yes","","tmdb","0.50","Exists","1432145",""
"Konjam Kadhal Konjam Modhal","2025","lead","Yes","","tmdb","0.50","Exists","1444744",""
"Blackmail","2025","lead","Yes","","tmdb","0.50","Exists","1505291",""
"The Bed","2026","lead","Yes","","tmdb","0.50","Exists","1604186",""
"Q12982331","1977","supporting","No","","wikidata","0.50","Added","",""
"Karunai Ullam","1978","supporting","No","","wikidata","0.50","Added","","tt0156689"
"Q16311395","1978","supporting","No","","wikidata","0.50","Added","",""
"Q12985478","1979","supporting","No","","wikidata","0.50","Added","",""
"People's Encounter","1991","supporting","No","","wikidata","0.50","Added","","tt0834138"
"Abbaigaru","1993","supporting","No","","wikidata","0.50","Added","","tt1579515"
"Kondapalli Raja","1993","supporting","No","","wikidata","0.50","Added","","tt1798189"
"One By Two","1993","supporting","No","","wikidata","0.50","Exists","","tt1579645"
"Varasudu","1993","supporting","No","","wikidata","0.50","Added","","tt0306186"
"Rajeswari Kalyanam","1993","supporting","No","","wikidata","0.50","Exists","","tt0332736"
