#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Director,Music,Producer,Cinematographer,Supporting_Cast
"51","1992","Naga Kanya","naga-kanya-1992","992296","Daggubati Venkatesh","Meena","Charan","Ganesh","Bathini Madhu Bala","","Ranganath(supporting)"
"52","1992","Chinarayudu","chinarayudu-1992","279490","Daggubati Venkatesh","Vijayashanti","B. Gopal","Ilaiyaraaja","Prasad P R","","Kota Srinivasa Rao(supporting); Nirmalamma(supporting); Babu Mohan(supporting)"
"53","1992","Chanti","chanti-1992","140742","Daggubati Venkatesh","Meena","Ravi Raja Pinisetty","Ilaiyaraaja","K.S. Rama Rao","","Nassar(supporting); Brahmanandam(supporting); Sujatha(supporting); Kallu Chidambaram(supporting); Allu Ramalingaiah(supporting)"
"54","1992","Chakravyuham","chakravyuham-1992","427845","Daggubati Venkatesh","Gautami","B.V. Ramana","Madhavapeddi Suresh","C.H.G. Rama Rao","",""
"55","1992","Sundara Kanda","sundara-kanda-1992","259275","Daggubati Venkatesh","Meena, Aparna","K. Raghavendra Rao","M.M. Keeravani","K.V.V. Satyanarayana","","Sindhuja(supporting); Junior Balaiah(supporting)"
"56","1992","Champion","champion-1992","","Daggubati Venkatesh","Debora","B. Gopal","","D. Ramanaidu","","Brahmanandam(supporting)"
"57","1991","Coolie No. 1","coolie-no-1-1991","279496","Daggubati Venkatesh","Tabu","K Raghavendra Rao","Ilaiyaraaja","Daggubati Suresh Babu","","Mohan Babu(supporting); Rao Gopal Rao(supporting); Sharada(supporting); Brahmanandam(supporting); Nirmalamma(supporting)"
"58","1991","Shatruvu","shatruvu-1991","279492","Daggubati Venkatesh","Vijayashanti","Kodi Ramakrishna","Saluri Koteswara Rao","M. S. Raju","","Kota Srinivasa Rao(supporting); Jeeva(supporting); Brahmanandam(supporting)"
"59","1991","Kshana Kshanam","kshana-kshanam-1991","81072","Daggubati Venkatesh","Sridevi","Ram Gopal Varma","M.M. Keeravaani","Y. Lakshman Chowdary","","Paresh Rawal(supporting); Rami Reddy(supporting); Brahmanandam(supporting); Narsing Yadav(supporting); Hema(supporting)"
"60","1991","Bharat Bandh","bharat-bandh-1991","920267","Daggubati Venkatesh","Archana","K. Murali Mohan","","","","Rahman(supporting)"
"61","1991","Surya IPS","surya-ips-1991","66409","Daggubati Venkatesh","Vijayashanti","A. Kodandarami Reddy","Ilaiyaraaja","T. Subbarami Reddy","","Charan Raj(supporting); R. Sarathkumar(supporting); Kaikala Satyanarayana(supporting); Tarun(supporting); Nutan Prasad(supporting)"
"62","1991","Bhargava","bhargava-1991","","Daggubati Venkatesh","Khushboo","A Kodandarami Reddy","Raj-Koti","","",""
"63","1991","Sathruvu","sathruvu-1991","259461","Daggubati Venkatesh","Vijayashanti","Kodi Ramakrishna","Raj-Koti","M.S. Reddy","",""
"64","1990","Aggiramudu","aggiramudu-1990","279497","Daggubati Venkatesh","Amala Akkineni","S S Ravichandra","K. Chakravarthy","Sekar M Krishna","","Gautami Tadimalla(supporting); Sharada(supporting); Jayalalita(supporting); Rohini(supporting)"
"65","1990","Bobbili Raja","bobbili-raja-1990","40907","Daggubati Venkatesh","Divya Bharti","B. Gopal","Ilaiyaraaja","Daggubati Suresh Babu","","Gummadi(supporting); Vanisri(supporting); Kota Srinivasa Rao(supporting); Brahmanandam(supporting); Sumithra(supporting)"
"66","1989","Two Town Rowdy","two-town-rowdy-1989","279500","Daggubati Venkatesh","Radha","Dasari Narayana Rao","Saluri Koteswara Rao","C. Venkataraju","","Krishnam Raju(supporting); Mohan Babu(supporting); Brahmanandam(supporting); Naresh(supporting)"
"67","1989","Ontari Poratam","ontari-poratam-1989","279499","Daggubati Venkatesh","Maheshwari","K. Raghavendra Rao","K. Chakravarthy","D. S. Prasad","","Mohan Babu(supporting); Jayasudha(supporting); Sudhakar(supporting); Kaikala Satyanarayana(supporting); Rupini(supporting)"
"68","1989","Agni","agni-1989","1079595","Daggubati Venkatesh","Kushboo","Harish Shankar","Hamsalekha","K. S. Prakash Rao","","Rao Gopal Rao(supporting); Kaikala Satyanarayana(supporting); Vanisri(supporting); Mohan Babu(supporting); Allu Ramalingaiah(supporting)"
"69","1989","Sutradharulu","sutradharulu-1989","105356","Daggubati Venkatesh","Meena","Kodandarami Reddy","K. V. Mahadevan","Sudhakar","","Ramya Krishnan(supporting); Sujatha(supporting); K R Vijaya(supporting); Kaikala Satyanarayana(supporting); Murali Mohan(supporting)"
"70","1989","Prema","prema-1989","279501","Daggubati Venkatesh","Revathi","Suresh Krissna","Ilaiyaraaja","D. Rama Naidu","","Brahmanandam(supporting); S. P. Balasubramaniam(supporting); Gollapudi Maruti Rao(supporting); Manjula Vijayakumar(supporting); Vaishnavi(supporting)"
"71","1989","Dhruva Nakshatram","dhruva-nakshatram-1989","","Daggubati Venkatesh","Rajani","Y. Nageswara Rao","Chakravarthy","D. Ramanaidu","","Brahmanandam(supporting); Kaikala Satyanarayana(supporting)"
"72","1989","Gaduggai","gaduggai-1989","","Daggubati Venkatesh","Rajani","Sarath","Chakravarthy","D. Ramanaidu","","Kota Srinivasa Rao(supporting); Brahmanandam(supporting)"
"73","1988","Swarnakamalam","swarnakamalam-1988","82749","Daggubati Venkatesh","Bhanupriya","K. Viswanath","Ilaiyaraaja","C H V Appa Rao","","Aruna Mucherla(supporting); Shanmukha Srinivas(supporting); Saakshi Ranga Rao(supporting); Janaki(supporting); Devilalitha(supporting)"
"74","1988","Brahma Puthrudu","brahma-puthrudu-1988","279505","Daggubati Venkatesh","Rajani","K. Murali Mohan","K. Chakravarthy","D. Rama Naidu","","Mohan Babu(supporting); Jayasudha(supporting); Sharada(supporting); Shalini(supporting)"
"75","1988","Raktha Tilakam","raktha-tilakam-1988","","Daggubati Venkatesh","Amala","B. Gopal","Chakravarthy","K. Ashok Kumar","","Sharada(supporting); Kaikala Satyanarayana(supporting)"
"76","1988","Varasudochadu","varasudochadu-1988","","Daggubati Venkatesh","Suhasini","A. Kodandarami Reddy","Chakravarthy","S. Gopal Reddy","","Nirmalamma(supporting); Gollapudi Maruti Rao(supporting)"
"77","1987","Ajeyudu","ajeyudu-1987","","Daggubati Venkatesh","Shobana","G. Ram Mohan Rao","Chakravarthy","D. Ramanaidu","","Kaikala Satyanarayana(supporting); Sumalatha(supporting)"
"78","1987","Bharatamlo Arjunudu","bharatamlo-arjunudu-1987","","Daggubati Venkatesh","Khushbu","K. Raghavendra Rao","Chakravarthy","D. Ramanaidu","","Sudhakar(supporting); Jayachitra(supporting)"
"79","1987","Srinivasa Kalyanam","srinivasa-kalyanam-1987","279509","Daggubati Venkatesh","Bhanupriya","Kodi Ramakrishna","K. V. Mahadevan","K Murari","","Bhanupriya(supporting); Mohan Babu(supporting)"
"80","1986","Kaliyuga Pandavulu","kaliyuga-pandavulu-1986","279515","Daggubati Venkatesh","Khusboo","K. Bapayya","K. Chakravarthy","D. Rama Naidu","","Ashwini(supporting); Sudhakar(supporting)"
