#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Supporting_Cast,Director,Music_Director,Cinematographer,Producer,Editor,Writer,Choreographer,Art_Director,Lyricist
"1","2025","Sankranthiki Vasthunam","sankranthiki-vasthunam-2025","1380920","Daggubati Venkatesh","Aishwarya Rajesh","Meenakshi Chaudhary; Upendra Limaye; Sai Kumar; Srinivasa Reddy; Naresh","Anil Ravipudi","Bheems Ceciroleo","Sameer Reddy","Dil Raju","Bikkina Thammiraju","Anil Ravipudi","","",""
"2","2024","Saindhav","saindhav-2024","1089737","Daggubati Venkatesh","Shraddha Srinath","Baby Sara; Andrea Jeremiah; Ruhani Sharma; Jayaprakash; Naresh","Sailesh Kolanu","Santhosh Narayanan","S. Manikandan","Venkat Boyanapalli","Garry BH","Sailesh Kolanu","","",""
"3","2022","F3: Fun and Frustration","f3-fun-and-frustration-2022","802065","Daggubati Venkatesh","Tamannaah Bhatia","Varun Tej[hero2]; Mehreen Pirzada[heroine2]; Sunil","Anil Ravipudi","Devi Sri Prasad","Sameer Reddy","Dil Raju","Bikkina Thammiraju","Anil Ravipudi","","",""
"4","2021","Narappa","narappa-2021","666564","Daggubati Venkatesh","Priyamani","Karthik Rathnam; Prakash Raj; Murali Sharma; Sampath Raj; Rao Ramesh","Srikanth Addala","Mani Sharma","Raam Reddy","Daggubati Suresh Babu","Marthand K Venkatesh","","","",""
"5","2021","Drushyam 2","drushyam-2-2021","847767","Daggubati Venkatesh","Meena","Nadhiya; Sampath Raj; Kruthika Jayakumar; Esther Anil; Naresh","Jeethu Joseph","Anup Rubens","Satheesh Kurup","Daggubati Suresh Babu","Marthand K Venkatesh","Jeethu Joseph","","",""
"6","2019","F2: Fun and Frustration","f2-fun-and-frustration-2019","566914","Daggubati Venkatesh","Tamannaah Bhatia","Varun Tej[hero2]; Mehreen Pirzada[heroine2]; Sunil","Anil Ravipudi","Devi Sri Prasad","Sameer Reddy","Dil Raju","Bikkina Thammiraju","Anil Ravipudi","","",""
"7","2019","Venky Mama","venky-mama-2019","613853","Daggubati Venkatesh","Payal Rajput","Naga Chaitanya[hero2]; Raashii Khanna[heroine2]","Bobby Kolli","S. Thaman","Prasad Murella","D. Suresh Babu, T.G. Vishwa Prasad","Kotagiri Venkateswara Rao","Janardhan Maharshi","","",""
"8","2017","Guru","guru-2017","447965","Daggubati Venkatesh","Ritika Singh","Mumtaz Sorcar; Nassar; Tanikella Bharani; Zakir Hussain; Raghu Babu","Sudha Kongara Prasad","Santhosh Narayanan","S.R. Kathir","S. Sashikanth","Sathish Suriya","Sudha Kongara Prasad","","",""
"9","2014","Drushyam","drushyam-2014","279450","Daggubati Venkatesh","Meena","Nadhiya; Naresh; Kruthika Jayakumar; Esther Anil; Ravi Kale","Sripriya","Sharreth","Sujith Vaassudev","Daggubati Suresh Babu","Marthand K Venkatesh","Jeethu Joseph","","",""
"10","2013","Shadow","shadow-2013","184346","Daggubati Venkatesh","Taapsee Pannu","Srikanth; Madhurima[heroine2]; Aditya Pancholi; Mukesh Rishi; Sayaji Shinde","Meher Ramesh","S. Thaman","Prasad Murella","Paruchuri Kireeti","Mauro Bonanni","Federico Zampaglione","","",""
"11","2013","Seethamma Vakitlo Sirimalle Chettu","seethamma-vakitlo-sirimalle-chettu-2013","193197","Daggubati Venkatesh","Anjali","Mahesh Babu[hero2]; Samantha Ruth Prabhu[heroine2]; Prakash Raj","Srikanth Addala","Mickey J Meyer","K. V. Guhan","Dil Raju","Marthand K Venkatesh","Srikanth Addala","","",""
"12","2013","Masala","masala-2013","264023","Daggubati Venkatesh","Anjali","Shazahn Padamsee[heroine2]; Ram Pothineni[hero2]; Brahmanandam; Kovai Sarala; Posani Krishna Murali","K. Vijaya Bhaskar","S. Thaman","Andrew","Daggubati Suresh Babu","","","","",""
"13","2012","Bodyguard","bodyguard-2012","83321","Daggubati Venkatesh","Trisha Krishnan","Prakash Raj","Gopichand Malineni","S. Thaman","Shyam K. Naidu","Bellamkonda Suresh","","Li Zhen","","",""
"14","2010","Nagavalli","nagavalli-2010","83154","Daggubati Venkatesh","Anushka Shetty","Poonam Kaur; Kamalinee Mukherjee; Avinash; Shraddha Das","P. Vasu","Gurukiran","Shyam K. Naidu","Bellamkonda Suresh","Marthand K Venkatesh","P. Vasu","","",""
"15","2008","Chintakayala Ravi","chintakayala-ravi-2008","22052","Daggubati Venkatesh","Mamta Mohandas","Venu Thottempudi; Brahmanandam; Sunil Varma; Dharmavarupu Subramanyam","Yogie","Vishal–Shekhar","Ravindra Babu","Nallamalupu Bujji","A. Sreekar Prasad","Kona Venkat","","",""
"16","2007","Aadavari Matalaku Arthale Verule","aadavari-matalaku-arthale-verule-2007","80826","Daggubati Venkatesh","Trisha","Srikanth; Kota Srinivasa Rao; K. Viswanath; Sunil Varma; Swathi Reddy","Selvaraghavan","Yuvan Shankar Raja","Ramji","N.V. Prasad, Shanam Naga Ashok Kumar","Anthony","Selvaraghavan","","",""
"17","2007","Thulasi","thulasi-2007","82324","Daggubati Venkatesh","Nayanthara","Vijayakumar; Ashish Vidhyarthi; Rahul Dev; Ramya Krishnan; Sivaji Sontineni","Boyapati Srinu","Devi Sri Prasad","Senthil Kumar","Daggubati Suresh Babu","Marthand K Venkatesh","Siva Akula","","",""
