#,Year,Title,Heroine,Director,Music,Cinematographer,Editor,Writer,Status
"1","2025","Sankranthiki Vasthunam","Aishwarya Rajesh","Anil Ravipudi","Bheems Ceciroleo","Sameer Reddy","B. Thammiraju","Anil Ravipudi","Highest-grossing Telugu film of early 2026"
"2","2024","Saindhav","Shraddha Srinath","Sailesh Kolanu","Santhosh Narayanan","S. Manikandan","Garry BH","Sailesh Kolanu","Cult Action Success"
"3","2022","F3: Fun and Frustration","Tamannaah Bhatia","Anil Ravipudi","Devi Sri Prasad","Sameer Reddy","B. Thammiraju","Anil Ravipudi","Commercially Successful"
"4","2021","Narappa","Priyamani","Srikanth Addala","Mani Sharma","Shyam K. Naidu","Marthand K. Venkatesh","Vetrimaaran (Story)","Remake of Asuran"
"5","2021","Drushyam 2","Meena","Jeethu Joseph","Anup Rubens","Satheesh Kurup","Marthand K. Venkatesh","Jeethu Joseph","OTT Direct Release"
"6","2019","F2: Fun and Frustration","Tamannaah Bhatia","Anil Ravipudi","Devi Sri Prasad","Sameer Reddy","Bikkina Thammiraju","Anil Ravipudi","Major Blockbuster"
"7","2019","Venky Mama","Payal Rajput","Bobby Kolli","S. Thaman","Prasad Murella","Kotagiri Venkateswara Rao","Janardhan Maharshi","Multi-starrer with Naga Chaitanya"
"8","2017","Guru","Ritika Singh","Sudha Kongara Prasad","Santhosh Narayanan","S.R. Kathir","Sathish Suriya","Sudha Kongara Prasad",""
"9","2014","Drushyam","Meena","Sripriya","Sharreth","Sujith Vaassudev","Marthand K Venkatesh","Jeethu Joseph",""
"10","2013","Shadow","Taapsee Pannu","Meher Ramesh","S. Thaman","Prasad Murella","Marthand K. Venkatesh","Meher Ramesh","Stylized Action Drama"
"11","2013","Seethamma Vakitlo Sirimalle Chettu","Anjali","Srikanth Addala","Mickey J Meyer","K. V. Guhan","Marthand K Venkatesh","Srikanth Addala",""
"12","2013","Masala","Anjali","K. Vijaya Bhaskar","S. Thaman","Andrew","Gautham Raju","K. Vijaya Bhaskar",""
"13","2012","Bodyguard","Trisha Krishnan","Gopichand Malineni","S. Thaman","Shyam K. Naidu","Gautham Raju","Gopichand Malineni","Remake of Malayalam hit"
"14","2010","Nagavalli","Anushka Shetty","P. Vasu","Gurukiran","Shyam K. Naidu","Marthand K Venkatesh","P. Vasu",""
"15","2008","Chintakayala Ravi","Mamta Mohandas","Yogie","Vishal–Shekhar","Ravindra Babu","A. Sreekar Prasad","Kona Venkat",""
"16","2007","Aadavari Matalaku Arthale Verule","Trisha","Selvaraghavan","Yuvan Shankar Raja","Ramji","Anthony","Selvaraghavan",""
"17","2007","Thulasi","Nayanthara","Boyapati Srinu","Devi Sri Prasad","Balamurugan","Marthand K. Venkatesh","Siva Akula",""
"18","2006","Lakshmi","Nayanthara","V. V. Vinayak","Ramana Gogula","Chota K. Naidu","Gautham Raju","V. V. Vinayak",""
"19","2005","Subash Chandra Bose","Genelia D'souza","K Raghavendra Rao","Mani Sharma","Ravindra Babu","Kotagiri Venkateswara Rao","Paruchuri Brothers",""
"20","2005","Sankranti","Sneha","Muppalaneni Shiva","S.A. Rajkumar","Prasad Murella","Nandamuri Hari","Muppalaneni Shiva",""
"21","2004","Malliswari","Katrina Kaif","K. Vijaya Bhaskar","Koti (Songs), Mani Sharma (BGM)","Shyam K. Naidu","Sreekar Prasad","Trivikram Srinivas","Iconic Romantic Comedy"
"22","2004","Gharshana","Asin Thottumkal","Gautham Vasudev Menon","Harris Jayaraj","S. Rajadhurai","Anthony","Gautham Vasudev Menon",""
"23","2004","Shivashankar","Soundarya","Kapuganti Rajendra","Ilaiyaraaja","K. S. Hari","Gautham Raju","Paruchuri Brothers",""
"24","2003","Vasantam","Aarti Agarwal","Vikraman","S.A. Rajkumar","S. Saravanan","Marthand K. Venkatesh","Chintapalli Ramana",""
"25","2002","Gemeni","Namitha","Saran","R. P. Patnaik","A. Venkatesh","Suresh Urs","Saran",""
"26","2002","Vasu","Bhumika Chawla","A. Karunakaran","Harris Jayaraj","P.S. Vinod","Marthand K. Venkatesh","A. Karunakaran",""
"27","2001","Prematho Raa","Simran","Udayasankar","Mani Sharma","S. Gopal Reddy","Marthand K. Venkatesh","Udayasankar",""
"28","2001","Nuvvu Naaku Nachav","Aarthi Agarwal","K Vijaya Bhaskar","Koti","K. Ravindra Babu","Sreekar Prasad","Trivikram Srinivas","Cult Classic"
"29","2001","Devi Putrudu","Soundarya","Kodi Ramakrishna","Mani Sharma","S. Gopal Reddy","K.V. Krishna Reddy","Kodi Ramakrishna",""
"30","2000","Manasunna Maaraju","Laya","Muppalaneni Siva","Vandemataram Srinivas","Muppalaneni Shiva","Nandamuri Hari","Muppalaneni Shiva",""
"31","2000","Kalisundam Raa","Simran","Udayasankar","S A Rajkumar","S. Gopal Reddy","Marthand K Venkatesh","Udayasankar",""
"32","2000","Jayam Manadera","Soundarya","N.Shankar","Vandemataram Srinivas","S. Gopal Reddy","Marthand K. Venkatesh","N. Shankar",""
"33","1999","Raja","Soundarya","Muppalaneni Shiva","S A Rajkumar","Prasad Murella","Marthand K Venkatesh","Vikraman",""
"34","1999","Seenu","Twinkle Khanna","Sasi","Mani Sharma","Shyam K. Naidu","Marthand K. Venkatesh","Sasi",""
