#	Year	Title	Heroine	Director	Music	Cinematographer	Producer	Supporting Cast
1	2025	Sankranthiki Vasthunam	Aishwarya Rajesh	Anil Ravipudi	Bheems Ceciroleo	Sameer Reddy	Dil Raju	Meenakshi Chaudhary, Upendra Limaye, Sai Kumar, Srinivasa Reddy
2	2024	Saindhav	Shraddha Srinath	Sailesh Kolanu	Santhosh Narayanan	S. Manikandan	Venkat Boyanapalli	Baby Sara, Andrea Jeremiah, Ruhani Sharma, Jayaprakash
3	2022	F3: Fun and Frustration	Tamannaah Bhatia	Anil Ravipudi	Devi Sri Prasad	Sameer Reddy	Dil Raju	Varun Tej, Mehreen Pirzada, Sunil
4	2021	Narappa	Priyamani	Srikanth Addala	Mani Sharma	Raam Reddy	Daggubati Suresh Babu	Karthik Rathnam, Prakash Raj, Murali Sharma, Sampath Raj
5	2021	Drushyam 2	Meena	Jeethu Joseph	Anup Rubens	Satheesh Kurup	Daggubati Suresh Babu	Nadhiya, Sampath Raj, Kruthika Jayakumar, Esther Anil
6	2019	F2: Fun and Frustration	Tamannaah Bhatia	Anil Ravipudi	Devi Sri Prasad	Sameer Reddy	Dil Raju	Varun Tej, Mehreen Pirzada, Sunil
7	2019	Venky Mama	Payal Rajput	Bobby Kolli	S. Thaman	Prasad Murella	D. Suresh Babu, T.G. Vishwa Prasad	Naga Chaitanya, Raashii Khanna
8	2017	Guru	Ritika Singh	Sudha Kongara Prasad	Santhosh Narayanan	S.R. Kathir	S. Sashikanth	Mumtaz Sorcar, Nassar, Tanikella Bharani, Zakir Hussain
9	2014	Drushyam	Meena	Sripriya	Sharreth	Sujith Vaassudev	Daggubati Suresh Babu	Nadhiya, Naresh, Kruthika Jayakumar, Esther Anil
10	2013	Shadow	Taapsee Pannu	Meher Ramesh	S. Thaman	Prasad Murella	Paruchuri Kireeti	Srikanth, Madhurima, Aditya Pancholi, Mukesh Rishi
11	2013	Seethamma Vakitlo Sirimalle Chettu	Anjali	Srikanth Addala	Mickey J Meyer	K. V. Guhan	Dil Raju	Mahesh Babu, Samantha Ruth Prabhu, Prakash Raj
12	2013	Masala	Anjali	K. Vijaya Bhaskar	S. Thaman	Andrew	Daggubati Suresh Babu	Shazahn Padamsee, Ram Pothineni, Brahmanandam, Kovai Sarala
13	2012	Bodyguard	Trisha Krishnan	Gopichand Malineni	S. Thaman	Shyam K. Naidu	Bellamkonda Suresh	Prakash Raj
14	2010	Nagavalli	Anushka Shetty	P. Vasu	Gurukiran	Shyam K. Naidu	Bellamkonda Suresh	Poonam Kaur, Kamalinee Mukherjee, Avinash, Shraddha Das
15	2008	Chintakayala Ravi	Mamta Mohandas	Yogie	Vishal–Shekhar	Ravindra Babu	Nallamalupu Bujji	Venu Thottempudi, Brahmanandam, Sunil Varma, Dharmavarupu Subramanyam
16	2007	Aadavari Matalaku Arthale Verule	Trisha	Selvaraghavan	Yuvan Shankar Raja	Ramji	N.V. Prasad, Shanam Naga Ashok Kumar	Srikanth, Kota Srinivasa Rao, K. Viswanath, Sunil Varma
17	2007	Thulasi	Nayanthara	Boyapati Srinu	Devi Sri Prasad	Senthil Kumar	Daggubati Suresh Babu	Vijayakumar, Ashish Vidhyarthi, Rahul Dev, Ramya Krishnan
