#,Year,Title,Slug,Heroine,Director,Music,Cinematographer,Editor,Writer,Producer,Status
"1","2025","Sankranthiki Vasthunam","sankranthiki-vasthunam-2025","Aishwarya Rajesh","Anil Ravipudi","Bheems Ceciroleo","Sameer Reddy","B. Tammiraju","Anil Ravipudi","Dil Raju","Highest-grossing Telugu film of 2025 (AP/TS); narrowly overtaken worldwide by They Call Him OG"
"2","2024","Saindhav","saindhav-2024","Shraddha Srinath","Sailesh Kolanu","Santhosh Narayanan","S. Manikandan","Garry BH","Sailesh Kolanu","Venkat Boyanapalli","Cult Action Success"
"3","2022","F3: Fun and Frustration","f3-fun-and-frustration-2022","Tamannaah Bhatia","Anil Ravipudi","Devi Sri Prasad","Sameer Reddy","B. Tammiraju","Anil Ravipudi","Dil Raju","Commercially Successful"
"4","2021","Narappa","narappa-2021","Priyamani","Srikanth Addala","Mani Sharma","Shyam K. Naidu","Marthand K. Venkatesh","Vetrimaaran (Story)","Daggubati Suresh Babu","Remake of Asuran"
"5","2021","Drushyam 2","drushyam-2-2021","Meena","Jeethu Joseph","Anup Rubens","Satheesh Kurup","Marthand K. Venkatesh","Jeethu Joseph","Daggubati Suresh Babu","OTT Direct Release"
"6","2019","F2: Fun and Frustration","f2-fun-and-frustration-2019","Tamannaah Bhatia","Anil Ravipudi","Devi Sri Prasad","Sameer Reddy","B. Tammiraju","Anil Ravipudi","Dil Raju","Major Blockbuster"
"7","2019","Venky Mama","venky-mama-2019","Payal Rajput","Bobby Kolli","S. Thaman","Prasad Murella","Kotagiri Venkateswara Rao","Janardhan Maharshi","D. Suresh Babu, T.G. Vishwa Prasad","Multi-starrer with Naga Chaitanya"
"8","2017","Guru","guru-2017","Ritika Singh","Sudha Kongara Prasad","Santhosh Narayanan","S.R. Kathir","Sathish Suriya","Sudha Kongara Prasad","S. Sashikanth",""
"9","2014","Drushyam","drushyam-2014","Meena","Sripriya","Sharreth","Sujith Vaassudev","Marthand K. Venkatesh","Jeethu Joseph","Daggubati Suresh Babu",""
"10","2013","Shadow","shadow-2013","Taapsee Pannu","Meher Ramesh","S. Thaman","Prasad Murella","Marthand K. Venkatesh","Meher Ramesh","Paruchuri Kireeti","Stylized Action Drama"
