#,Year,Title,Slug,Director,Editor_FILL,Writer_FILL
"1","2001","Prematho Raa","prematho-raa-2001","Udayasankar","Marthand K Venkatesh",""
"2","1999","Seenu","seenu-1999","Sasi","",""
"3","1998","Premante Ideraa","premante-ideraa-1998","Jayant Paranji","",""
"4","1997","Veedevadandi Babu","veedevadandi-babu-1997","E.V.V. Satyanarayana","",""
"5","1997","Chinnabbayi","chinnabbayi-1997","K. Viswanath","",""
"6","1996","Saahasa Veerudu Saagara Kanya","saahasa-veerudu-saagara-kanya-1996","K Raghavendra Rao","","Venkateswara Rao Paruchuri"
"7","1996","Sarada Bullodu","sarada-bullodu-1996","Ravi Raja Pinisetty","",""
"8","1996","Dharma Chakram","dharma-chakram-1996","Suresh Krissna","",""
"9","1996","Pavithra Bandham","pavithra-bandham-1996","Muthyala Subbaiah","","Muthyala Subbaiah"
"10","1994","Super Police","super-police-1994","K. Murali Mohana Rao","","V. C. Guhanathan"
"11","1992","Chakravyuham","chakravyuham-1992","B.V. Ramana","",""
"12","1992","Sundara Kanda","sundara-kanda-1992","K. Raghavendra Rao","",""
"13","1992","Champion","champion-1992","B. Gopal","",""
"14","1991","Coolie No. 1","coolie-no-1-1991","K Raghavendra Rao","",""
"15","1991","Shatruvu","shatruvu-1991","Kodi Ramakrishna","",""
"16","1991","Surya IPS","surya-ips-1991","A. Kodandarami Reddy","",""
"17","1990","Aggiramudu","aggiramudu-1990","S S Ravichandra","",""
"18","1989","Two Town Rowdy","two-town-rowdy-1989","Dasari Narayana Rao","",""
"19","1989","Dhruva Nakshatram","dhruva-nakshatram-1989","Y. Nageswara Rao","",""
"20","1989","Gaduggai","gaduggai-1989","Sarath","",""
"21","1988","Swarnakamalam","swarnakamalam-1988","K. Viswanath","","K. Viswanath"
"22","1988","Brahma Puthrudu","brahma-puthrudu-1988","Dasari Narayana Rao","",""
"23","1988","Raktha Tilakam","raktha-tilakam-1988","B. Gopal","",""
"24","1988","Varasudochadu","varasudochadu-1988","A. Kodandarami Reddy","",""
"25","1987","Ajeyudu","ajeyudu-1987","G. Ram Mohan Rao","",""
"26","1987","Bharatamlo Arjunudu","bharatamlo-arjunudu-1987","K. Raghavendra Rao","",""
"27","1987","Srinivasa Kalyanam","srinivasa-kalyanam-1987","Kodi Ramakrishna","",""
"28","1986","Kaliyuga Pandavulu","kaliyuga-pandavulu-1986","K. Raghavendra Rao","",""
