"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Nenjile Thunivirunthal","1981","supporting","No","","tmdb","0.50","Added","882110",""
"Pattabhishekham","1985","lead","Yes","","tmdb","0.50","Exists","1093415",""
"Kallukul Eeram","1980","supporting","No","","tmdb","0.50","Added","851188",""
"Pratighatana","1985","lead","Yes","","tmdb","0.50","Exists","1111343",""
"Apradhi","1992","supporting","No","","tmdb, wikidata","0.75","Added","619078","tt0103709"
"Sri Bannari Amman","2002","lead","Yes","","tmdb, wikidata","0.75","Exists","919660","tt13980542"
"Mannan","1992","lead","Yes","","tmdb","0.50","Exists","66241",""
"Netrikan","1981","supporting","No","","tmdb","0.50","Added","66295",""
"Stuartpuram Police Station","1991","lead","Yes","","tmdb","0.50","Exists","66350",""
"Indrudu Chandrudu","1989","lead","Yes","","tmdb, wikidata","0.75","Added","66364","tt0251139"
"Surya IPS","1991","lead","Yes","","tmdb, wikidata","0.75","Exists","66409","tt0320547"
"Sravana Sandhya","1986","lead","Yes","","tmdb","0.50","Exists","1118286",""
"Gang Leader","1991","lead","Yes","","tmdb, wikidata","0.75","Exists","78596","tt0245911"
"Rajasthan","1999","lead","Yes","","tmdb, wikidata","0.75","Exists","78606","tt0274750"
"Ilanjodigal","1982","supporting","No","","tmdb","0.50","Added","78774",""
"Mondi Mogudu Penki Pellam","1991","lead","Yes","","tmdb","0.50","Exists","137360",""
"Koduku Diddina Kapuram","1989","lead","Yes","","tmdb","0.50","Exists","987973",""
"Samsaram O Sangeetham","1986","lead","Yes","","tmdb","0.50","Exists","995309",""
"Mechanic Alludu","1993","lead","Yes","","tmdb","0.50","Exists","279119",""
"Yudda Bhoomi","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","279132","tt0246342"
"Attaku Yamudu Ammayiki Mogudu","1989","lead","Yes","","tmdb","0.50","Exists","279124",""
"Yamudiki Mogudu","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","279134","tt0246339"
"Rudranetra","1989","lead","Yes","","tmdb, wikidata","0.75","Exists","279126","tt0246204"
"Kondaveeti Donga","1990","lead","Yes","","tmdb, wikidata","0.75","Exists","103227","tt0246008"
"Dairyavanthudu","1986","lead","Yes","","tmdb","0.50","Exists","279297",""
"Chanakya Shapadham","1986","lead","Yes","","tmdb","0.50","Exists","279294",""
"Manchi Donga","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","126206","tt0246062"
"Pasivadi Pranam","1987","lead","Yes","","tmdb, wikidata","0.75","Exists","279288","tt0246144"
"Kondaveeti Raja","1986","lead","Yes","","tmdb, wikidata","0.75","Exists","279298","tt0246009"
"Swayamkrushi","1987","lead","Yes","","tmdb","0.50","Exists","279293",""
"Challenge","1984","lead","Yes","","tmdb, wikidata","0.75","Exists","279317","tt0245826"
"Devanthakudu","1984","lead","Yes","","tmdb, wikidata","0.75","Exists","279320","tt0245865"
"Chiranjeevi","1985","lead","Yes","","tmdb","0.50","Added","279309",""
"Mahanagaramlo Mayagadu","1984","lead","Yes","","tmdb, wikidata","0.75","Exists","279329","tt0246057"
"Sangarshana","1983","lead","Yes","","tmdb","0.50","Added","279328",""
"Chinarayudu","1992","lead","Yes","","tmdb, wikidata","0.75","Exists","279490","tt0317241"
"Shatruvu","1991","lead","Yes","","tmdb, wikidata","0.75","Exists","279492","tt0307454"
"Bhargava Ramudu","1987","lead","Yes","","tmdb","0.50","Exists","280374",""
"Nippu Ravva","1993","lead","Yes","","tmdb","0.50","Exists","280359",""
"Rowdy Inspector","1992","lead","Yes","","tmdb","0.50","Exists","82606",""
"Muddula Mavayya","1989","lead","Yes","","tmdb","0.50","Exists","280372",""
