ID,Title,Year,Hero,Director,Current_Poster,Current_Rating,New_Poster_URL,New_Rating,Notes
bbf3b8b2-ff2a-4ded-a6c3-86e9c9f17a7e,Kothala Raayudu,1979,Chiranjeevi,K. Vasu,NULL,NULL,,,First film - needs research
d230d639-8927-40d7-9889-79f95e18d21f,Sri Rambantu,1979,Chiranjeevi,Arudra,NULL,NULL,,,Early Chiranjeevi film
95639c8c-fad3-4ef9-b2a3-0e1b06040346,Aaj Ka Goonda Raj,1992,Chiranjeevi,Ravi Raja Pinisetty,NULL,NULL,,,Popular Chiranjeevi film
8182275f-e88d-4453-b855-4bb1695ef80c,Badrinath,2011,Allu Arjun,V. V. Vinayak,NULL,NULL,,,High-value Allu Arjun film
6212f700-84e3-4c84-bedc-570a48747a3d,Nizhal Thedum Nenjangal,1982,Rajinikanth,P. S. Nivas,NULL,NULL,,,Rajinikanth Tamil film
092508fb-f084-443b-aa50-3c6d06b6ec12,Chennakeshava Reddy,2002,Nandamuri Balakrishna,V. V. Vinayak,NULL,NULL,,,Popular Balakrishna film
1d57f0ef-c4ed-4b34-b453-b608ce213ba3,Chaithanya,1991,Akkineni Nagarjuna,Prathap Pothan,NULL,NULL,,,Nagarjuna film
d20403fb-8432-4565-85c4-961d128206cb,Well If You Know Me,2015,Venkatesh,Meher Ramesh,NULL,NULL,,,Recent Venkatesh film
f6069bac-c8e0-43a6-9742-22cd0cb22ac1,Adarsham,1952,Akkineni Nageswara Rao,H. V. Babu,NULL,NULL,,,Classic ANR film
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,Bratuku Theruvu,1953,Akkineni Nageswara Rao,P. S. Ramakrishna Rao,NULL,NULL,,,Has TMDB but no data
f86df043-4436-46ee-a4b6-6889d3b29f2e,Pathini Deivam,1957,Gemini Ganesan,Ch. Narayana Murthy,NULL,NULL,,,Tamil classic
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,Padhi Bhakti,1958,Gemini Ganesan,A. Bhimsingh,NULL,NULL,,,Tamil classic
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,Kaathavaraayan,1958,Sivaji Ganesan,T. R. Ramanna,NULL,NULL,,,Sivaji Ganesan classic
5d95bc5d-9490-4664-abc6-d2a9e29a05a8,Kuravanji,1960,Sivaji Ganesan,A. Kasilingam,NULL,NULL,,,Sivaji Ganesan classic
7f0b003c-b15f-4087-9003-0efc1d959658,Paarthaal Pasi Theerum,1962,Sivaji Ganesan,A. Bhimsingh,NULL,NULL,,,Sivaji Ganesan classic
4bf8c217-ffe2-489d-809d-50a499ac3cd1,Kai Koduttha Dheivam,1964,Sivaji Ganesan,K. S. Gopalakrishnan,NULL,NULL,,,Sivaji Ganesan classic
3bbeed9a-30c4-458c-827a-11f4df9582c4,Poojaikku Vandha Malar,1965,Gemini Ganesan,Muktha Srinivasan,NULL,NULL,,,Tamil classic
2142390d-8c14-4236-9aae-eb20edaa95cd,Shri Krishna Pandaviyam,1966,N. T. Rama Rao,N. T. Rama Rao,NULL,NULL,,,NTR mythological
5d98fdb3-4b6e-4037-a7ea-02794d6a00a4,Shri Krishnavataram,1967,N. T. Rama Rao,Kamalakara Kameswara Rao,NULL,NULL,,,NTR mythological
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,Iddaru Ammayilu,1972,Akkineni Nageswara Rao,Putanna Kanagal,NULL,NULL,,,Has TMDB but no data
2ced2102-12ab-4391-9e5b-40ae526c7b11,Amma Mata,1972,Sobhan Babu,V. Ramachandra Rao,NULL,NULL,,,Sobhan Babu classic
b7aad561-d88c-44b1-bd47-7076d669d0b5,Jeevana Theeralu,1977,Krishnam Raju,G. C. Sekhar,NULL,NULL,,,Krishnam Raju film
f0b669a6-227e-46c8-bdca-8778aef704d8,Bangaru Bommalu,1977,Akkineni Nageswara Rao,V. B. Rajendra Prasad,NULL,NULL,,,ANR family film
2d2300e8-75f4-40fa-9d89-11b728749949,Karunai Ullam,1978,Gemini Ganesan,A. Bhimsingh,NULL,NULL,,,Tamil classic
1a2d75cb-f7af-44c0-b7ad-eaf4b4bcfc31,Karunamayudu,1978,Vijayachander,A. Bhimsingh,NULL,NULL,,,Classic drama
