ID,Title,Year,Language,Hero,Director,Rating,Poster,Issue
b994c347-d1e4-4edd-96f5-79f8baca9bea,"Ranveer Ching Returns",2016,Telugu,MISSING,MISSING,MISSING,YES,No cast/director
d20403fb-8432-4565-85c4-961d128206cb,"Well, If You Know Me",2015,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
8ac900ab-636a-4b62-8ea9-449341cd3539,"Ramaiya Vasta Vaiya",2013,Telugu,MISSING,MISSING,MISSING,YES,No cast/director
8182275f-e88d-4453-b855-4bb1695ef80c,"Badrinadh",2011,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
5cd8b5da-c6cc-4acc-822a-361acc6e6803,"Kalabha Mazha",2011,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
1f339783-8a95-40dc-a318-fdb69edc331e,"Marana Porali",2011,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
5e4052c0-9936-4bc9-9284-5adf79dcf4f4,"Shubhapradam",2010,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
bb35eb63-49c4-42aa-a405-7ca08b8a813d,"Betting Bangaraju",2010,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
6dcf4ef0-f5e9-4717-96dd-14513908ce02,"Gopi – Goda Meedha Pilli",2006,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
06fbeb2c-ab89-423c-9e63-6009e3e96688,"సుందరానికి తొందరెక్కువ",2006,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
092508fb-f084-443b-aa50-3c6d06b6ec12,"Chennakeshava Reddy",2002,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"Angala Parameswari",2002,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
5205c2dc-2f36-48c9-9807-3153e897adbd,"Gunda Gardi",1997,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
fd10c7b5-1e25-4bcc-b82d-b4c6d1b48485,"Shri Krishnarjuna Vijayam",1996,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
e1124ed1-4aee-40ec-a97e-f5ecd5966a8d,"Maato Pettukoku",1995,Telugu,MISSING,MISSING,MISSING,YES,No cast/director
6d038721-fec0-4ba3-a90b-acbb26ef088e,"Raja Muthirai",1995,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
86e58157-d33f-48d1-a562-7413efddffd9,"Shubha Lagnam",1994,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
32d1c1ea-abd5-44ae-980e-369ba2f6ab96,"Athiradi Padai",1994,Telugu,MISSING,MISSING,MISSING,YES,No cast/director
95639c8c-fad3-4ef9-b2a3-0e1b06040346,"Aaj Ka Goonda Raj",1992,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
1d57f0ef-c4ed-4b34-b453-b608ce213ba3,"Chaithanya",1991,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
9fcf70da-160e-4635-af49-538749378675,"Shubha Muhurtam",1983,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
6212f700-84e3-4c84-bedc-570a48747a3d,"Nizhal Thedum Nenjangal",1982,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
06506eed-73d6-43dd-af5e-66030ac47b65,"Paravathi Parameshwarulu",1981,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
0a0d8345-02a7-4343-ada9-89ea66b5f912,"Agni Sanskaram",1980,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
90c2fb7e-6c92-45a4-81c4-a6c18b32e742,"Rakta Sambandham",1980,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
bbf3b8b2-ff2a-4ded-a6c3-86e9c9f17a7e,"Q12985478",1979,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
d230d639-8927-40d7-9889-79f95e18d21f,"Sri Rambantu",1979,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
1a2d75cb-f7af-44c0-b7ad-eaf4b4bcfc31,"Q16311395",1978,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
2d2300e8-75f4-40fa-9d89-11b728749949,"Karunai Ullam",1978,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
f0b669a6-227e-46c8-bdca-8778aef704d8,"Q12982331",1977,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
b7aad561-d88c-44b1-bd47-7076d669d0b5,"Jeevana Theeralu",1977,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,"Iddaru Ammayilu",1972,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
2ced2102-12ab-4391-9e5b-40ae526c7b11,"Amma Mata",1972,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
5d98fdb3-4b6e-4037-a7ea-02794d6a00a4,"Shri Krishnavataram",1967,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
2142390d-8c14-4236-9aae-eb20edaa95cd,"Shri Krishna Pandaviyam",1966,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
3bbeed9a-30c4-458c-827a-11f4df9582c4,"Poojaikku Vandha Malar",1965,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
4bf8c217-ffe2-489d-809d-50a499ac3cd1,"Kai Koduttha Dheivam",1964,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
7f0b003c-b15f-4087-9003-0efc1d959658,"Paarthaal Pasi Theerum",1962,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
5d95bc5d-9490-4664-abc6-d2a9e29a05a8,"Kuravanji",1960,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,"Padhi Bhakti",1958,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,"Kaathavaraayan",1958,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
f86df043-4436-46ee-a4b6-6889d3b29f2e,"Pathini Deivam",1957,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,"Bratuku Theruvu",1953,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
f6069bac-c8e0-43a6-9742-22cd0cb22ac1,"Adarsham",1952,Telugu,MISSING,MISSING,MISSING,MISSING,No cast/director; No rating/poster
