Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"The King of Kings",2025,"Jang Seong-ho","Oscar Isaac",,the-king-of-kings-2025,http://localhost:3000/reviews/the-king-of-kings-2025
"Karna",2023,"Juan Pablo Félix","Alfredo Castro",,karna-2023,http://localhost:3000/reviews/karna-2023
"Barla Narayana",2023,"Murali Kishor Abburu","Dileep",,barla-narayana-2023,http://localhost:3000/reviews/barla-narayana-2023
"Subramanyam Chigurupati",2023,"Srikant G Reddy","Sushanth",,subramanyam-chigurupati-2023,http://localhost:3000/reviews/subramanyam-chigurupati-2023
"Zinga",2022,"Euridilla Scarponi","Enrico Borello",,zinga-2022,http://localhost:3000/reviews/zinga-2022
"Lakshman K Krishna",2022,"Vijay Krishna Acharya","Sithara Entertainments",,lakshman-k-krishna-2022,http://localhost:3000/reviews/lakshman-k-krishna-2022
"Gudaputani",2021,"KM Kumar","Sapthagiri",,gudaputani-2021,http://localhost:3000/reviews/gudaputani-2021
"A: Ad Infitium",2021,"Ugandhar Muni","Nitin Prasanna",,a-ad-infitium-2021,http://localhost:3000/reviews/a-ad-infitium-2021
"Guvva Gorinka",2020,"Mohana Krishna Indraganti","Satyadev",,guvva-gorinka-2020,http://localhost:3000/reviews/guvva-gorinka-2020
"Anaganaga O Athdhi",2020,"Dayal Padmanabhan","Payal Rajput",,anaganaga-o-athdhi-2020,http://localhost:3000/reviews/anaganaga-o-athdhi-2020
"Thagite Thandana",2020,"Shravan Kumar K.","Rakshit",,thagite-thandana-2020,http://localhost:3000/reviews/thagite-thandana-2020
"Ranasthalam",2019,"Sudheer Varma","Sharwanand",,ranasthalam-2019,http://localhost:3000/reviews/ranasthalam-2019
"4 Letters",2019,"R Raghuraj","Eeshwar",,4-letters-2019,http://localhost:3000/reviews/4-letters-2019
"Danger Love Story",2019,"Shekar Chandra","Khayyum Gaurav",,danger-love-story-2019,http://localhost:3000/reviews/danger-love-story-2019
"Hulchul",2019,"Glory","Ramarao",,hulchul-2019,http://localhost:3000/reviews/hulchul-2019
"Kanam",2018,"A.L. Vijay","Naga Shourya",,kanam-2018,http://localhost:3000/reviews/kanam-2018
"Parichayam",2018,"Lakshman Karya","Virat Konduru",,parichayam-2018,http://localhost:3000/reviews/parichayam-2018
"Mercury",2018,"Karthik Subbaraj","Prabhu Deva",,mercury-2018,http://localhost:3000/reviews/mercury-2018
"Ammammagarillu",2018,"Sundar Surya","Naga Shaurya",,ammammagarillu-2018,http://localhost:3000/reviews/ammammagarillu-2018
"Ee Nagariniki Emaindi",2018,"Tharun Bhascker Dhaassyam","Vishwak Sen",,ee-nagariniki-emaindi-2018,http://localhost:3000/reviews/ee-nagariniki-emaindi-2018
"Super Sketch",2018,"Ravi Chakravathy","Narsing Yadav",,super-sketch-2018,http://localhost:3000/reviews/super-sketch-2018
"My Dear Marthandam",2018,"Harish K V","Prudhviraj",,my-dear-marthandam-2018,http://localhost:3000/reviews/my-dear-marthandam-2018
"Sameeram",2018,"Akram Khan","Varun",,sameeram-2018,http://localhost:3000/reviews/sameeram-2018
"Sharabha",2018,"Narayan Rogers","Aakash Kumar",,sharabha-2018,http://localhost:3000/reviews/sharabha-2018
"Maaya",2018,"Neelakanta","Sushanth",,maaya-2018,http://localhost:3000/reviews/maaya-2018
"Karthikeya",2018,"Chandoo Mondeti","Nikhil Siddharth",,karthikeya-2018,http://localhost:3000/reviews/karthikeya-2018
"Raa Raa",2018,"Shankar","Shivaji",,raa-raa-2018,http://localhost:3000/reviews/raa-raa-2018
"Taxiwaala",2018,"Rahul Sankrityan","Vijay Deverakonda",,taxiwaala-2018,http://localhost:3000/reviews/taxiwaala-2018
"Karma Kartha Kriya",2018,"Nagu Gawara","Vasant Sameer",,karma-kartha-kriya-2018,http://localhost:3000/reviews/karma-kartha-kriya-2018
"Raju Gadu",2018,"Sanjana Reddy","Raj Tarun",,raju-gadu-2018,http://localhost:3000/reviews/raju-gadu-2018
