Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
aa22xa6-tba,"AA22xA6",అల్లు అర్జున్ - అట్లీ ప్రాజెక్ట్,,"Allu Arjun","Deepika Padukone","Atlee"
mysaa-tba,"Mysaa",మైసా,,"Guru Somasundaram","Rashmika Mandanna","Rawindra Pulle"
janakiram-tba,"Janakiram",జానకిరామ్,,"Nagendra Babu","Keerthy Suresh","Ram Prasad Ragutu"
anaganaga-oka-rowdy-tba,"Anaganaga Oka Rowdy",అనగనగా ఒక రౌడీ,,"Sumanth","No Female Lead","Manu Yagnaa"
sahaa-tba,"Sahaa",సహా,,"Kumar Kasaaram","Swetha Saluru","Nishanth Doti"
edhureetha-tba,"Edhureetha",ఎదురీత,,"Sravan Raghavendra","Leona Lishoy","P. Balamurugan"
devara-2-tba,"Devara 2",దేవర 2,,"N. T. Rama Rao Jr.","Janhvi Kapoor","Koratala Siva"
reppa-tba,"Reppa",రెప్ప,,"Suhas","Harshitha","Filmian"
as-time-echoes-tba,"As Time Echoes",యాజ్ టైమ్ ఎకోస్,,"Akash Reddy Purma","No Female Lead","Sahith Mucherla"
umapathi-tba,"Umapathi",ఉమాపతి,,"Posani Krishna Murali","Avika Gor","Satya Dwarapudi"
oh-sukumari-tba,"Oh..! Sukumari",ఓ..! సుకుమారి,,"Thiruveer Reddy","Aishwarya Rajesh","Bharat Dharshan"
pushpa-3-the-rampage-tba,"Pushpa 3 - The Rampage",పుష్ప 3 - ది రాంపేజ్,,"Allu Arjun","Rashmika Mandanna","Sukumar"
takshakudu-tba,"Takshakudu",తక్షకుడు,,"Anand Deverakonda","Nitanshi Goel","Vinod Anantoju"
comrade-kalyan-tba,"Comrade Kalyan",కామ్రేడ్ కళ్యాణ్,,"Sree Vishnu","Mahima Nambiar","Janakiram Marella"
illicit-relationship-tba,"Illicit Relationship",ఇల్లిసిట్ రిలేషన్ షిప్,,"Abhinay Kadiyala","Thanmai Bolt","Rohit Penumatsa"
euphoria-tba,"Euphoria",యుఫోరియా,,"Gautham Vasudev Menon","Bhumika Chawla","Gunasekhar"
band-melam-tba,"Band Melam",బ్యాండ్ మేళం,,"Harsh Roshan","Sridevi Apalla","Sathish Javvaji"
nakshatra-poratam-tba,"Nakshatra Poratam",నక్షత్ర పోరాటం,,"Suman Talwar","Aamani","Sagar"
asuragana-rudra-tba,"Asuragana Rudra",అసురగణ రుద్ర,,"Naresh Agastya","Sangeerthana Vipin","Murali Katragadda"
garividi-lakshmi-tba,"Garividi Lakshmi",గరివిడి లక్ష్మి,,"Naresh","Anandhi","Gowri Naidu Jammu"
dq-41-tba,"DQ 41",దుల్కర్ సల్మాన్ 41,,"Dulquer Salmaan","Pooja Hegde","Ravi Nelakuditi"
hailesso-tba,"HaiLesso",హైలెస్సో,,"Sudigali Sudheer","Natasha Singh","Kota Prasanna Kumar"
arrtham-tba,"Arrtham",అర్థం,,"Mahendran","Shraddha Das","Thellaguti Manikanth"
kirathaka-tba,"Kirathaka",కిరాతక,,"Aadi Saikumar","Payal Rajput","Veerabhadram"
biker-tba,"Biker",బైకర్,,"Sharwanand","Malavika Nair","Abhilash Kankara"
abhiram-tba,"Abhiram",అభిరామ్,,"Prabhakar","Navami Gayak","Ramakrishna Arjun"
amaran-in-the-city-chapter-1-tba,"Amaran in the City: Chapter 1",అమరన్ ఇన్ ది సిటీ: చాప్టర్ 1,,"Aadi Saikumar","Avika Gor","S. Balaveer"
legacy-tba,"Legacy",లెగసీ,,"Vishwak Sen","No Female Lead","Saikiran Daida"
maa-inti-bangaram-tba,"Maa Inti Bangaram",మా ఇంటి బంగారం,,"Gulshan Devaiah","Samantha","B. V. Nandini Reddy"
hey-bhagawan-tba,"Hey Bhagawan!",హే భగవాన్!,,"Suhas","Shivani Nagaram","Gopi Atchara"
maate-mantramu-tba,"Maate Mantramu",మాటే మంత్రము,,"Rahul Vijay","Megha Akash","A. Bhimaneni"
natudu-tba,"Natudu",నటుడు,,"Kavya Shetty","Nagineedu Vellanki","Prasad"
bad-boy-karthik-tba,"Bad Boy Karthik",బ్యాడ్ బాయ్ కార్తీక్,,"Naga Shaurya","Vidhi Yadav","Ramesh"
patta-pagalu-tba,"Patta Pagalu",పట్టపగలు,,"Tanikella Bharani","Swati Dixit","Ram Gopal Varma"
they-call-him-og-2-tba,"They Call Him OG 2",దే కాల్ హిమ్ OG 2,,"Pawan Kalyan","No Female Lead","Sujeeth"
what-the-fish-tba,"What The Fish",వాట్ ద ఫిష్,,"Manchu Manoj","Niharika Konidela","Varun Korukonda"
paramanandham-shishyulu-tba,"Paramanandham Shishyulu",పరమానందం శిష్యులు,,"Daggupati Vinay","No Female Lead","G D Naidu 888"
naa-katha-tba,"Naa Katha",నా కథ,,"Suman Shetty","No Female Lead","Ratnakar Peravali"
ene-repeat-tba,"ENE Repeat",ENE రిపీట్,,"Vishwak Sen","No Female Lead","Tharun Bhascker"
kalki-2898-ad-part-2-tba,"Kalki 2898-AD: Part 2",కల్కి 2898-AD: పార్ట్ 2,,"Prabhas","Deepika Padukone","Nag Ashwin"
anumana-pakshi-tba,"Anumana Pakshi",అనుమాన పక్షి,,"Rag Mayur","Merin Philip","Vimal Krishna"
peddarikam-tba,"Peddarikam",పెద్దరికం,,"N.N. Pillai","Jagapati Babu","A. M. Rathnam"
