Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
honey-2026,"Honey",,2026,"Naveen Chandra","Divya Pillai","Karuna Kumar"
psych-siddhartha-2026,"Psych Siddhartha",,2026,"Shree Nandu","Yamini Bhaskar","Varun Reddy"
itllu-arjuna-2026,"Itllu Arjuna",,2026,"Aniesh","Anaswara Rajan","Mahesh Uppala"
rowdy-janardhana-2026,"Rowdy Janardhana",,2026,"Vijay Deverakonda","Keerthy Suresh","Ravikiran Kola"
the-paradise-2026,"The Paradise",,2026,"Nani","Janhvi Kapoor","Srikanth Odela"
sahakutumbaanaam-2026,"Sahakutumbaanaam",,2026,"Raam Kiran","Megha Akash","Uday Sharma"
rao-bahadur-2026,"Rao Bahadur",,2026,"Satyadev Kancharana","Deepa Thomas","Venkatesh Maha"
vanaveera-2026,"Vanaveera",,2026,"Avinash","Simran Choudhary","Avinash Thiruveedhula"
madham-2026,"Madham",,2026,"Harsha","Inaya Sultana","Vamsee Krishna Malla"
nilakanta-2026,"Nilakanta",,2026,"Mahendran","Yashna Chowdary","Rakesh Madhavan"
ranger-2026,"Ranger",,2026,"Ajay Devgn","Tamannaah Bhatia","Jagan Shakti"
anantha-2026,"Anantha",,2026,"Jagapathi Babu","Suhasini Maniratnam","Suresh Krissna"
the-bed-2026,"The Bed",,2026,"Srikanth","Srushti Dange","S. Mani Bharathy"
alcohol-2026,"Alcohol",,2026,"Allari Naresh","Ruhani Sharma","Meher Tej"
dark-chocolate-2026,"Dark Chocolate",,2026,"Vishwadev Rachakonda","Bindu Madhavi","Shashank Srivatsavaya"
om-shanti-shanti-shantihi-2026,"Om Shanti Shanti Shantihi",,2026,"Tharun Bhascker","Eesha Rebba","Sajeev AR"
funky-2026,"Funky",,2026,"Vishwak Sen","Kayadu Lohar","Anudeep"
seetha-payanam-2026,"Seetha Payanam",,2026,"Niranjan Sudhindra","Aishwarya Arjun","Arjun Sarja"
lenin-tba,"Lenin",,2026,"Akhil Akkineni","Bhagyashri Borse","Murali Kishor Abburu"
o-romeo-2026,"O'Romeo",,2026,"Shahid Kapoor","Triptii Dimri","Vishal Bhardwaj"
lyf-love-your-father-2025,"LYF - Love Your Father",,2025,"Sri Harsha","Kashika Kapoor","Pavan Ketharaju"
the-great-pre-wedding-show-2025,"The Great Pre-Wedding Show",,2025,"Thiruveer Reddy","Tinu Shravya","Rahul Srinivas"
shambhala-2025,"Shambhala",,2025,"Mo Tzu-Yi","Rina Takeda","Toshio Sekine"
gandhi-tatha-chettu-2025,"Gandhi Tatha Chettu",,2025,"Chakrapani Ananda","Sukriti Veni","Padmavathi Malladi"
shivangi-2025,"Shivangi",,2025,"John Vijay","Anandhi","Devaraj Bharani Dharan"
paanch-minar-2025,"Paanch Minar",,2025,"Raj Tarun","Raashi Singh","Ramesh Kadumula"
oh-bhama-ayyo-rama-2025,"Oh Bhama Ayyo Rama",,2025,"Suhas","Malavika Manoj","Ram Godhala"
14-days-girlfriend-intlo-2025,"14 Days (girlfriend Intlo)",,2025,"Ankith Koyya","Shriya Kontham","Sriharsha Manne"
mass-jathara-2025,"Mass Jathara",,2025,"Ravi Teja","Sreeleela","Bhanu Bogavarapu"
mokshapatam-2025,"Mokshapatam",,2025,"Thiruveer Reddy","Pooja Kiran","Rahul Vanaja Rajeshwar"
1000-waala-2025,"1000 Waala",,2025,"Amith","Navitha Gangat","Afzal Shaik"
28-degree-celsius-2025,"28 Degree Celsius",,2025,"Naveen Chandra","Shalini Vadnikatti","Anil Viswanath"
the-100-2025,"The 100",,2025,"Anand","Misha Narang","Raghav Omkar Sasidhar"
arjun-chakravarthy-2025,"Arjun Chakravarthy",,2025,"Vijaya Rama Raju","Sija Rose","Vikrant Srinivas"
dear-uma-2025,"Dear Uma",,2025,"Pruthvi Ambaar","V. S. Roopa Lakshmi","Sai Rajesh Mahadav"
neeli-megha-shyama-2025,"Neeli Megha Shyama",,2025,"Vishwadev Rachakonda","Paayal Radhakrishna","Ravi S Varmaa"
