title_en,release_year,director,hero,rating
Niku Naku Pellanta Tom Tom Tom,2022,Manikanta Thalluri,Inturi Vasu,8.5
Telugu Veera Levara,1995,E. V. V. Satyanarayana,Krishna,8.2
Desamlo Dongalu Paddaru,2018,Gouthama rajkumar,Ali Basha,8
Kuravanji,1960,A. Kasilingam,Sivaji Ganesan,7.8
Soubhagyavathi,1975,P. Chandrasekhara Reddy,Krishna,7.5
Kanchu Kota,1967,C.S. Rao,N. T. Rama Rao,7.5
Gopaludu Bhoopaludu,1967,G. Viswanatham,N. T. Rama Rao,7.5
Mogudu Pellalu,1985,Kodi Ramakrishna,Naresh,7.5
Devadasu,1974,Vijaya Nirmala,Krishna,7.5
Debbaku Debba,1983,Rajachandra,Rajinikanth,7.5
Beedala Patlu,1952,K. Ramnoth,Chittoor V. Nagaiah,7.5
Pantulamma,1943,Y.V. Rao,Mudigonda Lingamurthy,7.5
Dharmapatni,1941,P. Pullaiah,Uppuluri Hanumantha Rao,7.5
Ashtalakshmi Vaibhavam,1986,Suresh Krissna,K R Vijaya,7.5
Desanikokkadu,1983,K. S. R. Das,Krishna,7.5
Devi Kanaykumari,1983,K. Shankar,Krishnam Raju,7.5
Kaksha,1980,V. C. Guhanathan,Sobhan Babu,7.5
Garuda Rekhe,1982,K. Vasu,Krishna,7.5
Angadi Bomma,1978,B. Subba Rao,Narasimha Raju,7.5
Manthra Dandam,1985,K. Murali Mohan,Unknown,7.5
Amara Sandhesam,1954,Adurthi Subba Rao,Amarnath,7.5
Inikkum Ilamai,1982,M,Sudhakar,7.5
Prema Vijayam,1983,Niranjan,Suman,7.5
Kasi Yatra,1983,K. Vasu,Akkineni Nageswara Rao,7.5
Rangoon Rowdy,1979,Dasari Narayana Rao,Krishnam Raju,7.5
Satyaniki Sankellu,1974,K.S. Prakash Rao,Krishna,7.5
Vayasochina Pilla,1975,Lakshmi Deepak,Murali Mohan,7.5
Lady Tarzan,1983,Kevin Lima and Chris Buck,Raza Murad,7.5
Premalu Pellillu,1974,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Aathmeeyulu,1969,V. Madhusudhan Rao,Akkineni Nageswara Rao,7.5
Monagadostunnadu Jagratha,1972,K. S. R. Das,Krishna,7.5
Kaksha Sadistha,1983,A. Kodandarami Reddy,Suman,7.5
Chandi Chamundi,1983,Kodi Ramakrishna,Kavitha,7.5
Ammayila Sapatham,1975,G. V. R. Seshagiri Rao,Ramakrishna; Chandra Mohan,7.5
Praja Shakthi,1983,Krasna,Krishnam Raju,7.5
Bhale Rangadu,1969,Tatineni Rama Rao,Akkineni Nageswara Rao,7.5
Gandaragandudu,1969,K.S.R. Das,Krishna,7.5
Bandhipotu Bhimanna,1969,M. Mallikharjuna Rao,Krishna,7.5
Devadichina Bharta,1968,P. Padmanabham,Krishna,7.5
Bangaru Bava,1980,Katta Subba Rao,Krishna,7.5
Chandashasanudu,1983,N. T. Rama Rao,N. T. Rama Rao,7.5
Merupu Veerudu,1970,B. Vittalacharya,Kanta Rao,7.5
Vikramarka Vijayam,1971,G. Viswanatham,Kanta Rao,7.5
Pakkalo Ballem,1965,S.R. Puttanna Kanagal,N. T. Rama Rao,7.5
Aggi Veerudu,1969,B.V. Srinivas,N. T. Rama Rao,7.5
Aasha Jeevulu,1962,B.S. Ranga,Akkineni Nageswara Rao; Jaggayya,7.5
Sadarama,1956,K.B. Srinivasan,N. T. Rama Rao,7.5
Anarkali,1955,Vedantam Raghavayya,Anjali Devi,7.5
Kalahala Kapuram,1982,K. Vasu,Sarath Babu,7.5
Aadarsham,1952,H.L.N. Simha,Jaggayya,7.5
Antastulu,1965,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Rakta Sambandham,1962,M. Mallikarjuna Rao,Krishna,7.5
Daasi,1952,L.V. Prasad,N. T. Rama Rao,7.5
Prema ishq kaadhal,2013,Pavan Sadineni,Harshvardhan Rane,7.5
Suputhrudu,1971,Tatineni Rama Rao,Akkineni Nageswara Rao,7.5
Meena,1973,B. Vittalacharya,Krishna,7.5
Illu Illalu,1972,P. Sambasiva Rao,Sobhan Babu,7.5
Sati Savitri,1978,B,Kaikala Satyanarayana,7.5
Pratigna,1953,H.M. Reddy,Kanta Rao,7.5
Evaru Donga,1961,M. Appa Rao,Kanta Rao,7.5
Kanyadhanam,1955,Vasanthkumar Reddy,N. T. Rama Rao,7.5
Pasupu Kumkuma,1955,B. S. Ranga,N. T. Rama Rao,7.5
Pasi Hrudayalu,1973,M. Mallikarjuna Rao,Chalam,7.5
Badrinadh,2011,V. V. Vinayak,Allu Arjun,7.5
Yashoda Krishna,1975,C.S. Rao,Rama Krishna,7.5
Manchi Chedu,1963,T.R. Ramanna,N. T. Rama Rao,7.5
Annapurna,1960,V. Madhusudhana Rao,Akkineni Nageswara Rao; Jaggayya,7.5
Geeta,1973,Kalyanam,Akkineni Nageswara Rao,7.5
Thulambaram,1974,P. Chandrasekhara Reddy,Chalam,7.5
Amayaka Chakravarthy,1983,Vijaya Bapineedu,Chandra Mohan,7.5
Kottapeta Rowdy,1980,K. Vasu,Krishna,7.5
Abhisyanta Kalapam,1949,N. Sankara Rao,Akkineni Nageswara Rao,7.5
Hyderabad Blues,1998,Nagesh Kukunoor,Varun Sandesh is not correct; it is actually Nagesh Kukunoor,7.5
Vooriki Vupakari,1972,K. S. R. Das,Chalam,7.5
Mattilo Manikyam,1971,K Vasu,Akkineni Nageswara Rao,7.5
Bhaktimala,1941,H. S. Rawail,V. Nagayya,7.5
Kathanayika Molla,1970,D. Yoganand,Haranath,7.5
Yuvraju,1982,Dasari Narayana Rao,Akkineni Nageswara Rao,7.5
Sudigundaalu,1968,Adurthi Subba Rao,N. T. Rama Rao,7.5
Potti Pleader,1966,K. Hemambaradhara Rao,Padmanabham,7.5
Patni,1942,V. Nagayya,V. Nagayya,7.5
Bhakta Sriyala,1948,P. Pullaiah,Akkineni Nageswara Rao,7.5
Sannayi Appanna,1980,Lakshmi Deepak,Sobhan Babu,7.5
Asha Jyoti,1981,T. Prakash Rao,Murali Mohan,7.5
Nindu Samsaram,1968,C.S. Rao,N. T. Rama Rao,7.5
Jagannadha Rathachakralu,1982,A. Kodandarami Reddy,Krishnam Raju,7.5
Todu Dongalu,1954,D. Yoganand,N. T. Rama Rao; Gummadi,7.5
Manchi Kutumbam,1968,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Paramanandayya Sishyulu,1950,V. Nagayya,N. T. Rama Rao,7.5
Bangaru Chilaka,1985,A. Kodandarami Reddy,Sobhan Babu,7.5
Varudhini,1947,B.V. Ramanandam,S.V. Ranga Rao,7.5
O Amma Katha,1981,Vasanta Sen,Murali Mohan,7.5
Station Master,1988,A. Kodandarami Reddy,Rajendra Prasad,7.5
Prema Samrat,1987,K. Murali Mohan,Kamal Haasan,7.5
Rachayitri,1984,K. Vasu,Bhanu Chander,7.5
Bezawada Bebbuli,1983,Vijaya Nirmala,Krishna,7.5
Niluvu Dopidi,1968,K. Pratyagatma,Krishna,7.5
Balasanyasamma Katha,1956,P. Pullaiah,N. T. Rama Rao,7.5
Rickshaw Raji,1978,Boyina Subba Rao,Murali Mohan,7.5
Cinema Vaibhavam,1975,Multiple Directors,Ensemble Cast,7.5
Siddhalingeshwara Mahima,1981,Hunsur Krishnamurthy,,7.5
Kilinjalgal,1982,Bhimsingh,Kamal Haasan,7.5
Manavudu Danavudu,1972,P. Chandrasekhara Reddy,Sobhan Babu,7.5
Mamatha,1973,P. Chandrasekhara Reddy,Krishnam Raju,7.5
Kanna Talli,1953,K.S. Prakash Rao,Akkineni Nageswara Rao,7.5
Bava Maradallu,1984,A. Kodandarami Reddy,Sobhan Babu,7.5
Bhale Master,1968,S.D. Lal,Akkineni Nageswara Rao,7.5
Prema Jwala,1983,K. Vasu,Suman,7.5
Kunkuma Tilakam,1983,Bhargava,Rajendra Prasad,7.5
Bhale Mosagadu,1972,K Vasu,Chandra Mohan,7.5
Maharaju,1985,Vijaya Bapineedu,Sobhan Babu,7.5
Nala Damayanthi,1957,Kemparaj Urs,Kemparaj Urs,7.5
Gruhalakshmi,1967,P. Pullaiah,Akkineni Nageswara Rao,7.5
Rahasyam,1967,Vedantam Raghavayya,Akkineni Nageswara Rao,7.5
Manushullo Devudu,1974,B.V. Prasad,N. T. Rama Rao,7.5
Sambarala Rambabu,1970,G. V. R. Seshagiri Rao,Chalam,7.5
Muddu Bidda,1956,K Vasu,N. T. Rama Rao,7.5
Aatagadu,1980,T. Rama Rao,N. T. Rama Rao,7.5
Dharma Vaddi,1982,B. Bhaskara Rao,Murali Mohan,7.5
Kommineni,1982,K Vasu,Somayajulu,7.5
Kaliyuga Dhaivam,1983,M. Rosi Raju,Ramakrishna; Sarath Babu,7.5
Kanne Donga,1983,A. Kodandarami Reddy,Krishna,7.5
Veelunama,1965,K. Pratyagatma,Akkineni Nageswara Rao,7.5
Pelliroju,1968,K. Sanjeevi,Haranath,7.5
Vaarasatwam,1964,Tapi Chanakya,N. T. Rama Rao,7.5
