ID,Title,Year,Hero,Director,Rating,Priority,Search_Strategy,Poster_URL,Notes
d20403fb-8432-4565-85c4-961d128206cb,Well If You Know Me,2015,Venkatesh,Meher Ramesh,7.0,HIGH,"Search 'Yennai Arindhaal 2015 poster' (Tamil original)",,Tamil film - Ajith Kumar
092508fb-f084-443b-aa50-3c6d06b6ec12,Chennakeshava Reddy,2002,Nandamuri Balakrishna,V. V. Vinayak,7.8,HIGH,"Search 'Chennakesava Reddy 2002 Balakrishna poster'",,Popular Balakrishna film
95639c8c-fad3-4ef9-b2a3-0e1b06040346,Aaj Ka Goonda Raj,1992,Chiranjeevi,Ravi Raja Pinisetty,7.4,HIGH,"Search 'Aaj Ka Goonda Raj 1992 Chiranjeevi poster'",,Hindi title for Telugu film
1d57f0ef-c4ed-4b34-b453-b608ce213ba3,Chaithanya,1991,Akkineni Nagarjuna,Prathap Pothan,7.4,HIGH,"Search 'Chaitanya 1991 Nagarjuna poster' or 'Chaitanya Telugu film'",,Alternate spelling: Chaitanya
6212f700-84e3-4c84-bedc-570a48747a3d,Nizhal Thedum Nenjangal,1982,Rajinikanth,P. S. Nivas,8.0,HIGH,"Search 'Nizhalgal 1980 Rajinikanth poster' (Tamil)",,Tamil classic - alternate spelling
d230d639-8927-40d7-9889-79f95e18d21f,Sri Rambantu,1979,Chiranjeevi,Arudra,7.2,HIGH,"Search 'Sri Rambantu 1979 Chiranjeevi poster'",,Early Chiranjeevi
2d2300e8-75f4-40fa-9d89-11b728749949,Karunai Ullam,1978,Gemini Ganesan,A. Bhimsingh,7.7,MEDIUM,"Search 'Karunai Ullam 1978 Tamil poster'",,Tamil classic
f0b669a6-227e-46c8-bdca-8778aef704d8,Q12982331,1977,Akkineni Nageswara Rao,V. B. Rajendra Prasad,7.6,MEDIUM,"Search 'Bangaru Bommalu 1977 ANR poster'",,Title: Bangaru Bommalu
b7aad561-d88c-44b1-bd47-7076d669d0b5,Jeevana Theeralu,1977,Krishnam Raju,G. C. Sekhar,7.3,MEDIUM,"Search 'Jeevana Theeralu 1977 Krishnam Raju poster'",,Drama
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,Iddaru Ammayilu,1972,Akkineni Nageswara Rao,Putanna Kanagal,7.5,MEDIUM,"Search 'Iddaru Ammayilu 1972 ANR poster'",,Classic family drama
2ced2102-12ab-4391-9e5b-40ae526c7b11,Amma Mata,1972,Sobhan Babu,V. Ramachandra Rao,7.4,MEDIUM,"Search 'Amma Mata 1972 Sobhan Babu poster'",,Family drama
5d98fdb3-4b6e-4037-a7ea-02794d6a00a4,Shri Krishnavataram,1967,N. T. Rama Rao,Kamalakara Kameswara Rao,8.1,MEDIUM,"Search 'Sri Krishnavataram 1967 NTR poster'",,NTR mythological
2142390d-8c14-4236-9aae-eb20edaa95cd,Shri Krishna Pandaviyam,1966,N. T. Rama Rao,N. T. Rama Rao,8.0,MEDIUM,"Search 'Sri Krishna Pandaviyam 1966 NTR poster'",,NTR mythological
3bbeed9a-30c4-458c-827a-11f4df9582c4,Poojaikku Vandha Malar,1965,Gemini Ganesan,Muktha Srinivasan,7.7,MEDIUM,"Search 'Poojaikku Vantha Malar 1965 Tamil poster'",,Tamil classic - alternate spelling
4bf8c217-ffe2-489d-809d-50a499ac3cd1,Kai Koduttha Dheivam,1964,Sivaji Ganesan,K. S. Gopalakrishnan,7.9,MEDIUM,"Search 'Kai Kodutha Deivam 1964 Sivaji poster'",,Tamil classic
7f0b003c-b15f-4087-9003-0efc1d959658,Paarthaal Pasi Theerum,1962,Sivaji Ganesan,A. Bhimsingh,8.2,MEDIUM,"Search 'Paarthal Pasi Theerum 1962 Sivaji poster'",,Tamil classic - Sivaji masterpiece
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,Kaathavaraayan,1958,Sivaji Ganesan,T. R. Ramanna,7.9,LOW,"Search 'Kadhavaraayan 1958 Sivaji poster' or 'Kathavarayan'",,Tamil classic - alternate spellings
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,Padhi Bhakti,1958,Gemini Ganesan,A. Bhimsingh,7.8,LOW,"Search 'Pattinathar 1958 Tamil poster' or 'Padhi Bhakti'",,Tamil devotional - may have alternate title
f86df043-4436-46ee-a4b6-6889d3b29f2e,Pathini Deivam,1957,Gemini Ganesan,Ch. Narayana Murthy,7.7,LOW,"Search 'Pathini Dheivam 1957 Tamil poster'",,Tamil classic
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,Bratuku Theruvu,1953,Akkineni Nageswara Rao,P. S. Ramakrishna Rao,7.6,LOW,"Search 'Bratuku Theruvu 1953 ANR poster'",,Early ANR classic
