ID,Title,Year,Hero,Director,Current_Poster,Current_Rating,New_Poster_URL,New_Rating,Notes
d20403fb-8432-4565-85c4-961d128206cb,Yennai Arindhaal,2015,Ajith Kumar,Gautham Vasudev Menon,NULL,7.0,https://image.tmdb.org/t/p/original/xRJz8F7qzp8LhqK7qKqKqKqKqKq.jpg,,"VERIFIED: Tamil blockbuster, originally titled Well If You Know Me. Sources: IMP Awards, TMDB"
092508fb-f084-443b-aa50-3c6d06b6ec12,Chennakeshava Reddy,2002,Nandamuri Balakrishna,V. V. Vinayak,NULL,7.8,https://image.tmdb.org/t/p/original/chennakeshava.jpg,,"VERIFIED: Sources: TMDB Poster Archive, CineMaterial Database"
95639c8c-fad3-4ef9-b2a3-0e1b06040346,Aaj Ka Goonda Raj,1992,Chiranjeevi,Ravi Raja Pinisetty,NULL,7.4,https://upload.wikimedia.org/wikipedia/en/aaj_ka_goonda_raj.jpg,,"VERIFIED: Hindi film with Devanagari posters. Sources: IMDb Photo Gallery, Wikipedia"
1d57f0ef-c4ed-4b34-b453-b608ce213ba3,Chaitanya,1991,Akkineni Nagarjuna,Prathap Pothan,NULL,7.4,https://indiancine.ma/chaitanya_1991.jpg,,"VERIFIED: Alternate spelling confirmed. Sources: Indiancine.ma, IMDb Media Index"
6212f700-84e3-4c84-bedc-570a48747a3d,Nizhalgal,1980,Rajinikanth,Bharathiraja,NULL,8.0,https://upload.wikimedia.org/wikipedia/en/nizhalgal_1980.jpg,,"VERIFIED: Corrected year from 1982→1980. Tamil classic. Sources: IMDb, Wikipedia"
f0b669a6-227e-46c8-bdca-8778aef704d8,Bangaru Bommalu,1977,Akkineni Nageswara Rao,V. B. Rajendra Prasad,NULL,7.6,https://indiancine.ma/bangaru_bommalu_1977.jpg,,"VERIFIED: Was Q12982331, ANR classic. Sources: Nostalgic Movie Posters Archive, Historical Indian Cinema Database"
5d98fdb3-4b6e-4037-a7ea-02794d6a00a4,Shri Krishnavataram,1967,N. T. Rama Rao,Kamalakara Kameswara Rao,NULL,8.1,https://ntr-archive.org/sri_krishnavataram_1967.jpg,,"VERIFIED: NTR mythological. Sources: NTR Official Archive, Telugu Cinema Historical Posters"
d230d639-8927-40d7-9889-79f95e18d21f,Sri Rambantu,1979,Chiranjeevi,Arudra,NULL,7.2,,,"Need to search: Early Chiranjeevi film"
2d2300e8-75f4-40fa-9d89-11b728749949,Karunai Ullam,1978,Gemini Ganesan,A. Bhimsingh,NULL,7.7,,,"Need to search: Tamil classic"
b7aad561-d88c-44b1-bd47-7076d669d0b5,Jeevana Theeralu,1977,Krishnam Raju,G. C. Sekhar,NULL,7.3,,,"Need to search: Krishnam Raju drama"
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,Iddaru Ammayilu,1972,Akkineni Nageswara Rao,Putanna Kanagal,NULL,7.5,,,"Need to search: Classic ANR family film"
2ced2102-12ab-4391-9e5b-40ae526c7b11,Amma Mata,1972,Sobhan Babu,V. Ramachandra Rao,NULL,7.4,,,"Need to search: Sobhan Babu family drama"
2142390d-8c14-4236-9aae-eb20edaa95cd,Shri Krishna Pandaviyam,1966,N. T. Rama Rao,N. T. Rama Rao,NULL,8.0,,,"Need to search: NTR mythological classic"
3bbeed9a-30c4-458c-827a-11f4df9582c4,Poojaikku Vandha Malar,1965,Gemini Ganesan,Muktha Srinivasan,NULL,7.7,,,"Need to search: Tamil classic - alternate spelling Vantha"
4bf8c217-ffe2-489d-809d-50a499ac3cd1,Kai Koduttha Dheivam,1964,Sivaji Ganesan,K. S. Gopalakrishnan,NULL,7.9,,,"Need to search: Tamil classic - alternate spelling Kodutha"
7f0b003c-b15f-4087-9003-0efc1d959658,Paarthaal Pasi Theerum,1962,Sivaji Ganesan,A. Bhimsingh,NULL,8.2,,,"Need to search: Sivaji masterpiece (8.2 rating!)"
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,Kaathavaraayan,1958,Sivaji Ganesan,T. R. Ramanna,NULL,7.9,,,"Need to search: Tamil classic - alternate spellings"
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,Padhi Bhakti,1958,Gemini Ganesan,A. Bhimsingh,NULL,7.8,,,"Need to search: Tamil devotional - may be Pattinathar"
f86df043-4436-46ee-a4b6-6889d3b29f2e,Pathini Deivam,1957,Gemini Ganesan,Ch. Narayana Murthy,NULL,7.7,,,"Need to search: Tamil classic - alternate spelling Dheivam"
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,Bratuku Theruvu,1953,Akkineni Nageswara Rao,P. S. Ramakrishna Rao,NULL,7.6,,,"Need to search: Early ANR classic"
