ID,Title (English),Title (Telugu),Year,Quality,Hero,Heroine,Director,Music Director,Producer,Our Rating,TMDB Rating,Has Poster,Poster URL,Genres,TMDB ID,IMDb ID,Slug,Issues/Notes
4d62b72f-b132-4507-97be-ff2aceebc96f,"Ramam Raghavam","",2025,Excellent,"Samuthirakani","Mokksha","Dhanraj Koranani","disambiguation","",6,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Dhanraj_Mahal_Front_View.jpg/330px-Dhanraj_Mahal_Front_View.jpg,"Documentary",1230008,,dhanraj-2025,"Post-2018"
e71bb9ed-1463-4581-a97f-3049c5755cb9,"Buddy","",2024,Excellent,"Allu Sirish","Gayatri Bhardwaj","Sam Anton","HipHop Tamizha Adhi","K. E. Gnanavelraja",3.5,3.5,YES,https://image.tmdb.org/t/p/w500/4kBQXF9Yxkqje4Ss43vHDwqDHtu.jpg,"Action, Comedy",1230407,tt26235048,buddy-2024,"Post-2018"
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam","",2023,Basic,"","","Prashanth Neel","","",,,NO,,"Action, Crime",1131774,tt13927994,salaar-part-2-shouryanga-parvam-2023,"No hero; No rating; No poster; Post-2018"
dd1b498e-7532-4802-a339-5cb803c1a6c9,"Babli Bouncer","బబ్లీ బౌన్సర్",2022,Good,"Sahil Vaid","Tamannaah Bhatia","Madhur Bhandarkar","Tanishk Bagchi","Vineet Jain",,,YES,https://image.tmdb.org/t/p/w500/iX2vylrLdiiDBGaA3xhPobJp7dW.jpg,"Comedy, Drama",1002082,,babli-bouncer-2022,"No rating; Post-2018"
b07d5abc-94ee-460c-9251-4c3a91bda391,"Check","",2021,Excellent,"Nithiin","Rakul Preet Singh","Chandra Sekhar Yeleti","","Just Yellow Media",7.5,,YES,https://upload.wikimedia.org/wikipedia/commons/4/4f/Chandrasekharyeleti.jpg,"Thriller, Action",781844,,chandra-sekhar-yeleti-2021,"Post-2018"
19bc0324-80de-4386-8db6-81f9324e94f6,"Mumbai Saga","",2021,Good,"John Abraham","","Sanjay Gupta","Amar Mohile","Bhushan Kumar",,,YES,https://image.tmdb.org/t/p/w500/4xTtLkGEmUD5Oqjsv3lrkeLr2NW.jpg,"Action, Drama, Crime",608746,,mumbai-saga-2021,"No rating; Post-2018"
8a2518f7-6f12-4bd9-b4b7-fe0b8a8a4929,"Love Story","",2021,Excellent,"Naga Chaitanya Akkineni","Sai Pallavi","Sekhar Kammula","Josiah Steinbrick","Anaamika",7.5,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Shekhar_Kammula.jpg/330px-Shekhar_Kammula.jpg,"Romance, Drama",653601,,sekhar-kammula-2021,"Post-2018"
3ba14033-504a-42b8-8709-9ed05ec44ba6,"Madhagaja","",2021,Good,"Sriimurali","Ashika Ranganath","S. Mahesh Kumar","Ravi Basrur","Umapathy Srinivas Gowda",,,YES,https://image.tmdb.org/t/p/w500/rFhp8DlrhUzVLO0pW3cIyGoF7S.jpg,"Action, Crime, Thriller",673184,,madhagaja-2021,"No rating; Post-2018"
77f672f6-8a85-427d-81c7-ceee669827eb,"Seetimaarr","",2021,Excellent,"Gopichand","Tamannaah Bhatia","Sampath Nandi","Sampath Nandi","",5,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sampath_Nandi.jpg/330px-Sampath_Nandi.jpg,"Action, Drama",630138,,sampath-nandi-2021,"Post-2018"
1ed8526e-092e-4c3a-bc13-34b92bd70a29,"Annabelle Sethupathi","",2021,Good,"Vijay Sethupathi","Taapsee Pannu","Deepak Sundarrajan","Krishna Kishor","Sudhan Sundaram",,,YES,https://image.tmdb.org/t/p/w500/1A33SYANAsoRR6wNalk1SviNI7F.jpg,"Horror, Comedy, Fantasy",864403,,annabelle-sethupathi-2021,"No rating; Post-2018"
