Title	Year	Slug	Reason	Current URL	Correct URL	Page URL
Krishna Prema	1943	krishna-prema-1943	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/d/df/1943-KrishnaPrema_poster.jpg	N/A	http://localhost:3000/movies/krishna-prema-1943
Radhika	1947	radhika-1947	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/0/02/Radhika_%28South_Indian_Actress%29_%284%29.jpg	N/A	http://localhost:3000/movies/radhika-1947
Paramanandayya Sishyulu	1950	paramanandayya-sishyulu-1950	Filename matches hero name: N.T. Rama Rao	https://upload.wikimedia.org/wikipedia/en/8/82/Paramanandayya_Sishyulu.jpg	N/A	http://localhost:3000/movies/paramanandayya-sishyulu-1950
Mantra Dandam	1951	mantra-dandam-1951	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/d/dd/Mantra_Dandam.jpg	N/A	http://localhost:3000/movies/mantra-dandam-1951
Ammalakkalu	1953	ammalakkalu-1953	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/6/66/Ammalakkallu_%281953%29_Release_Date_Poster_Design.jpg	N/A	http://localhost:3000/movies/ammalakkalu-1953
Sadarama	1956	sadarama-1956	Filename matches hero name: N.T. Rama Rao	https://upload.wikimedia.org/wikipedia/commons/d/d9/Sadarama_%281956%29.jpg	N/A	http://localhost:3000/movies/sadarama-1956
Sati Savitri	1957	sati-savitri-1957	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/6/62/Sati_Savitri_%281957_film%29.jpg	N/A	http://localhost:3000/movies/sati-savitri-1957
Sri Krishna Maya	1958	sri-krishna-maya-1958	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/e/ed/Sri_Krishna_Maya.jpg	N/A	http://localhost:3000/movies/sri-krishna-maya-1958
Krishna Leelalu	1959	krishna-leelalu-1959	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/d/d4/1959-Krishna_Leelalu.jpg	N/A	http://localhost:3000/movies/krishna-leelalu-1959
Sri Krishna Rayabaram	1960	sri-krishna-rayabaram-1960	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/b/b1/1960_Srikrishna_Rayabaramu_film_poster.jpg	N/A	http://localhost:3000/movies/sri-krishna-rayabaram-1960
Nagarjuna	1962	nagarjuna-1962	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/f/f7/Nagarjuna_%281961%29.jpg	N/A	http://localhost:3000/movies/nagarjuna-1962
Sri Krishnarjuna Yuddhamu	1963	sri-krishnarjuna-yuddhamu-1963	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Sri_Krishnarjuna_Yuddhamu.jpg/330px-Sri_Krishnarjuna_Yuddhamu.jpg	N/A	http://localhost:3000/movies/sri-krishnarjuna-yuddhamu-1963
