slug,title_en,year,hero,director,title_te
a-k-47-1999,"A. K. 47",1999,"Sai Kumar","E. V. V. Satyanarayana",
aavide-syamala-1999,"Aavide Syamala",1999,"Srikanth","K Vasu",
alludugaaru-vachcharu-1999,"Alludugaaru Vachcharu",1999,"Jagapathi Babu","Ravi Raja Pinisetty",
ammo-polisollu-1999,"Ammo Polisollu",1999,"Sumanth","E. V. V. Satyanarayana",
anaganaga-oka-ammai-1999,"Anaganaga Oka Ammai",1999,"Srikanth","Ramesh Sarangan",
anthapuram-1999,"Anthapuram",1999,"Soundarya","Pasupuleti Krishna Vamsi",
asala-sandadi-1999,"Asala Sandadi",1999,"Jagapathi Babu","Relangi Narasimha Rao",
bobbili-vamsam-1999,"Bobbili Vamsam",1999,"Daggubati Venkatesh","A. Kodandarami Reddy",
chala-bagundi-1999,"Chala Bagundi",1999,"Srikanth","E. V. V. Satyanarayana",
chinna-durai-1999,"Chinna Durai",1999,"R. Sarathkumar","Chandra R",
devi-1999,"Devi",1999,"Prema","Kodi Ramakrishna",
dollar-dreams-1999,"Dollar Dreams",1999,"Sakshi Ranga Rao","Sekhar Kammula",
english-pellam-east-godavari-mogudu-1999,"English Pellam East Godavari Mogudu",1999,"Srikanth","Rudraraju Suresh Varma",
gurupoornima-1999,"Gurupoornima",1999,"Jagapathi Babu","P. N. Ramachandra Rao",
habba-1999,"Habba",1999,"Vishnuvardhan","D. Rajendra Babu",
harischandraa-1999,"Harischandraa",1999,"Srikanth","Suresh Krishna",
i-liked-the-girl-1999,"I liked the girl",1999,"Srikanth","E. V. V. Satyanarayana",
iddaru-mitrulu-1999,"Iddaru Mitrulu",1999,"Chiranjeevi","K. Raghavendra Rao",
independence-1999,"Independence",1999,"","Vinayan",
kaama-1999,"Kaama",1999,"Jagapathi Babu","Suresh Krissna",
kohram-1999,"Kohram",1999,"Amitabh Bachchan","Mehul Kumar",
krishna-babu-1999,"Krishna Babu",1999,"Nandamuri Balakrishna","Muthyala Subbaiah",
maa-balaji-1999,"Maa Balaji",1999,"Vadde Naveen","Kodi Ramakrishna",
maanavudu-daanavudu-1999,"Maanavudu Daanavudu",1999,"Krishna","Krishna Reddy",
manasulo-maata-1999,"Manasulo Maata",1999,"Jagapathi Babu","S. V. Krishna Reddy",
manavudu-danavudu-1999,"Manavudu Danavudu",1999,"Krishna","K. Raghavendra Rao",
manikyam-1999,"Manikyam",1999,"Jagapathi Babu","A. Kodandarami Reddy",
mannavaru-chinnavaru-1999,"Mannavaru Chinnavaru",1999,"Arjun Sarja","P. N. Ramachandra Rao",
mannavaru-sinnavaru-1999,"Mannavaru Sinnavaru",1999,"Soundarya","P. N. Ramachandra Rao",
mechanic-mavayya-1999,"Mechanic Mavayya",1999,"Srikanth","Mutyala Subbaiah",
naa-hrudayamlo-nidurinche-cheli-1999,"Naa Hrudayamlo Nidurinche Cheli",1999,"Vadde Naveen","AVS Adi Narayana",
naanu-nanna-hendtheeru-1999,"Naanu Nanna Hendtheeru",1999,"V. Ravichandran","V. S. Reddy",
nee-kosam-1999,"Nee Kosam",1999,"Ravi Teja","Srinu Vaitla",
neti-gandhi-1999,"Neti Gandhi",1999,"Dr. Rajasekhar","E. V. V. Satyanarayana",
panchadara-chilaka-1999,"Panchadara Chilaka",1999,"Srikanth","Dasari Narayana Rao",
pedda-manushulu-1999,"Pedda Manushulu",1999,"Suman","Boyina Subba Rao",
pilla-nachindi-1999,"Pilla Nachindi",1999,"Srikanth","E. V. V. Satyanarayana",
postman-1999,"Postman",1999,"Mohan Babu","Muppalaneni Siva",
prema-katha-1999,"Prema Katha",1999,"Sumanth","Ram Gopal Varma",
premaku-velayara-1999,"Premaku Velayara",1999,"J.D. Chakravarthy","S. V. Krishna Reddy",
