Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
uruku-patela-2024,"Uruku Patela",,2024,"Tejus Kancherla","Khushboo Choudhary","Vivek Reddy"
mix-up-2024,"Mix Up",,2024,"Kamal Kamaraju","Akshara Gowda","Aakash Bikki"
gangs-of-godavari-2024,"Gangs of Godavari",,2024,"Vishwak Sen","Neha Shetty","Krishna Chaitanya"
gam-gam-ganesha-2024,"Gam Gam Ganesha",,2024,"Anand Deverakonda","Pragati Srivastava","Uday Bommisetty"
committee-kurrollu-2024,"Committee Kurrollu",,2024,"Sandeep Saroj","Prawasthi","Yadhu Vamsi"
prathinidhi-2-2024,"Prathinidhi 2",,2024,"Nara Rohith","Indraja","Murthy Devagupthapu"
105-minuttess-2024,"105 Minuttess",,2024,"N/A","Hansika Motwani","Raju Dussa"
bharathanatyam-2024,"Bharathanatyam",,2024,"Harsha Vardhan","Gangavva","KVR Mahendra"
pushpa-2-the-rule-2024,"Pushpa 2 - The Rule",,2024,"Allu Arjun","Rashmika Mandanna","Sukumar"
viswam-2024,"Viswam",,2024,"Gopichand","Kavya Thapar","Sreenu Vaitla"
narudi-brathuku-natana-2024,"Narudi Brathuku Natana",,2024,"Shiva Ramachandravarapu","Sruthi Jayan","Rishikeshwar Yogi"
sarkaaru-noukari-2024,"Sarkaaru Noukari",,2024,"Akash Goparaju","Mani Chandana","Shekar Ganganamoni"
the-family-star-2024,"The Family Star",,2024,"Vijay Deverakonda","Mrunal Thakur","Parasuram Petla"
naa-saami-ranga-2024,"Naa Saami Ranga",,2024,"Akkineni Nagarjuna, Allari Naresh","Ashika Ranganath","Vijay Binni"
bachhala-malli-2024,"Bachhala Malli",,2024,"Allari Naresh","Amritha Aiyer","Subbu Mangadevi"
a-goa-tripp-2024,"A Goa Tripp...",,2024,"Pradeep Ambal","No Female Lead","Rohithh Dhruvan"
rrr-behind-and-beyond-2024,"RRR: Behind & Beyond",,2024,"N. T. Rama Rao Jr.","Ram Charan","S. S. Rajamouli"
zebra-2024,"Zebra",,2024,"Satyadev Kancharana","Priyanka Sarkar","Eashvar Karthic"
double-engine-2024,"Double Engine",,2024,"Pawan Ramesh","Gayatri Gupta","Camp Sasi"
harom-hara-2024,"Harom Hara",,2024,"Sudheer Babu","Malavika Sharma","Gnanasagar Dwaraka"
sam-anton-2024,"Sam Anton",,2024,"Studio Green Films","Orietta Notari","Giorgio Diritti"
ruslaan-2024,"Ruslaan",,2024,"Jagapathi Babu","Vidya Malvade","Karan Lalit Butani"
aa-okkati-adakku-2024,"Aa Okkati Adakku",,2024,"Allari Naresh","Faria Abdullah","Malli Ankam"
anandapuram-diaries-2024,"Anandapuram Diaries",,2024,"Srikanth","Meena","Jaya Jose Raj"
vedaa-2024,"Vedaa",,2024,"John Abraham","Sharvari Wagh","Nikkhil Advani"
kangaroo-2024,"Kangaroo",,2024,"Aditya","Ranjani Raghavan","Kishore Megalamane"
leela-vinodam-2024,"Leela Vinodam",,2024,"Goparaju Ramana","V. S. Roopa Lakshmi","Pavan Sunkara"
laggam-2024,"Laggam",,2024,"Sai Ronak","Pragya Nagra","Ramesh Cheppala"
utsavam-2024,"Utsavam",,2024,"Prakash Raj","Regina Cassandra","Arjun Sai"
sheeshmahal-2024,"Sheeshmahal",,2024,"Sai","Prerana Sadhu","Camp Sasi"
brahmavaram-ps-paridilo-2024,"Brahmavaram PS Paridilo",,2024,"Sammeta Gandhi","V. S. Roopa Lakshmi","Imran Sastry"
operation-laila-2024,"Operation Laila",,2024,"Srikanth","Siddhika Sharma","A. Venkatesh"
rush-2024,"Rush",,2024,"Abdullah Imran","Daisy Bopanna","Sathish Poloju"
parijatha-parvam-2024,"Parijatha Parvam",,2024,"Harsha Chemudu","Shraddha Das","Santosh Kambhampati"
prasanna-vadanam-2024,"Prasanna Vadanam",,2024,"Suhas","Raashi Singh","Arjun Y.K."
leela-vinodham-2024,"Leela Vinodham",,2024,"Shanmukh Jaswanth","Anagha Ajith","Pavan Sunkara"
kalinga-2024,"Kalinga",,2024,"Tanikella Bharani","Pragya Nayan Sinha","Dhruva Vaayu"
mr-bachchan-2024,"Mr Bachchan",,2024,"Ravi Teja","Bhagyashri Borse","Harish Shankar"
kismat-2024,"Kismat",,2024,"Abhinav Gomatam","Riya Suman","Srinath Badineni"
drinker-sai-2024,"Drinker Sai",,2024,"Mahesh Dharma","Aishwarya Sharma","Kiran Tirumalasetti"
100-crores-2024,"100 Crores",,2024,"Rahul Haridas","Sakshi Chaudhary","Virat Chakravarthy"
akshara-2024,"Akshara",,2024,"Nandita Swetha","No Female Lead","Chinni Krishna"
my-dear-donga-2024,"My Dear Donga",,2024,"Abhinav Gomatam","Divya Sripada","B. S. Sarwagna Kumar"
tom-and-jerry-2024,"Tom And Jerry",,2024,"Nithin Rao","Chaitra Rao","Raghav Vinay Shivamani"
masthu-shades-unnai-ra-2024,"Masthu Shades Unnai Ra",,2024,"Abhinav Gomatam","Vaishali Raj","Thirupathi Rao Indla"
maruthi-nagar-subramanyam-2024,"Maruthi Nagar Subramanyam",,2024,"Rao Ramesh","Ankith Koyya","Lakshman Karya"
bench-life-2024,"Bench Life",,2024,"Vaibhav","Ritika Singh","Manasa Sharma"
1980-lo-radhekrishna-2024,"1980 Lo Radhekrishna",,2024,"SS Saidulu","Bramarambika Tutika","Ismail Shaik"
love-mouli-2024,"Love Mouli",,2024,"Navdeep","No Female Lead","Avaneendra"
we-love-bad-boys-2024,"We Love Bad Boys",,2024,"Ajay Kumar Kathurvar","Roshni Sahota","Raju Rajendra Prasad"
