Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
hunt-2023,"Hunt",,2023,"Sudheer Babu","Mounika Reddy","Mahesh Surapaneni"
spark-2023,"Spark",,2023,"Guru Somasundaram","Mehreen Pirzada","Vikranth Reddy"
my-name-is-shruthi-2023,"My Name Is Shruthi",,2023,"Murali Sharma","Hansika Motwani","Srinivas Omkhar"
ala-ninnu-cheri-2023,"Ala Ninnu Cheri",,2023,"Dinesh Tej","Hebah Patel","Maresh Shivan"
sagiletikatha-2023,"Sagiletikatha",,2023,"Raviteja Mahadasyam","Vishika Kota","Rajshekar"
mangalavaaram-2023,"Mangalavaaram",,2023,"Ravindra Vijay","Payal Rajput","Ajay Bhupathi"
o-saathiya-2023,"O Saathiya",,2023,"Aryan Gowra","Mishti Chakravarty","Divya Bhavana"
mr-king-2023,"Mr. King",,2023,"Sharan Kumar","Yashvika Nishkala","Sasiidhar"
premadesam-2023,"Premadesam",,2023,"Thrigun","Megha Akash","Srikanth Siddham"
vidhi-2023,"Vidhi",,2023,"Rohit Nanda","Anandhi","Srikanth Ranganathan"
subramanyam-chigurupati-2023,"Salam Sainika",,2023,"Dev","Sree Bhavya","Subramanyam Chigurupati"
madhurapudi-granam-ane-nenu-2023,"Madhurapudi Granam Ane Nenu",,2023,"Shiva Kantamaneni","Sravani Shetty","Kalyan Chakravarthy"
sindhooram-2023,"Sindhooram",,2023,"Siva Balaji","Brigida Saga","Shyam Tummalapalli"
maama-mascheendra-2023,"Maama Mascheendra",,2023,"Sudheer Babu","Eesha Rebba","Harsha Vardhan"
her-chapter-1-2023,"Her: Chapter 1",,2023,"Vikas Vashishta","Ruhani Sharma","Sreedhar Swaraghav"
saachi-2023,"Saachi",,2023,"Ashok Mulavirat","Sanjana Reddy","Vivek Pothagoni"
mentoo-2023,"#MenToo",,2023,"Naresh Agastya","Riya Suman","Srikanth G. Reddy"
geetasakshigaa-2023,"Geetasakshigaa",,2023,"Aadarsh","Chitra Shukla","Anthony Mattipalli"
peddha-kapu-1-2023,"Peddha Kapu - 1",,2023,"Virat Karrna","Pragati Srivastava","Srikanth Addala"
ugram-2023,"Ugram",,2023,"Allari Naresh","Mirnaa Menon","Vijay Kanakamedala"
case-30-2023,"Case 30",,2023,"Siddharth Naidu","Shamni","Sandeep Palle"
ustaad-2023,"Ustaad",,2023,"Sri Simha","Kavya Kalyanram","Phanideep"
suvarna-sundari-2023,"Suvarna Sundari",,2023,"Sai Kumar","Jaya Prada","M. S. N. Surya"
bhuvanavijayam-2023,"Bhuvanavijayam",,2023,"Sunil Varma","Vasanthi Krishnan","Yalamanda Charan"
circle-2023,"Circle",,2023,"Sai Ronak","Arshin Mehta","Neelakanta"
chakravyuham-2023,"Chakravyuham",,2023,"Ajay","Gnaneswari Kandregula","Chetukuri Madhusudhan"
antham-kadidi-aarambam-1981,"Antham Kadidi Aarambam",,2023,"Krishna","Vijaya Nirmala","Vijaya Nirmala"
spy-2023,"Spy",,2023,"Nikhil Siddhartha","Iswarya Menon","Raj Madiraju"
aadikeshava-2023,"Aadikeshava",,2023,"Panja Vaisshnav Tej","Sreeleela","Srikanth N Reddy"
breathe-2023,"Breathe",,2023,"Vennela Kishore","Aishani Shetty","Vamsi Krishna Akella"
baby-2023,"Baby",,2023,"Anand Deverakonda","Vaishnavi Chaitanya","Sai Rajesh"
barla-narayana-2023,"Narayana & Co",,2023,"Sudhakar Komakula","Arati Podi","Murali Kishor Abburu"
nagumome-chaalu-le-2023,"Nagumome Chaalu Le",,2023,"K. L. Damodar Prasad","Sindhuja Turlapati","N. Balaji"
plot-2023,"Plot",,2023,"Vikas","No Female Lead","Bhanu Bhava"
miss-shetty-mr-polishetty-2023,"Miss. Shetty Mr. Polishetty",,2023,"Anushka Shetty","Naveen Polishetty","Mahesh Babu P"
music-school-2023,"Music School",,2023,"Sharman Joshi","Shriya Saran","Papa Rao Biyyala"
711-pm-2023,"7:11 PM",,2023,"Saahas Pagadala","Tess Walsh","Chaitu Madala"
ahimsa-2023,"Ahimsa",,2023,"Kamal Kamaraju","Geethika Tiwary","Teja"
jilebi-2023,"Jilebi",,2023,"Sree Kamal","Shivani Rajashekar","K. Vijaya Bhaskar"
mao-oori-cinema-2023,"Mao Oori Cinema",,2023,"Pulivendula Mahesh","Priya Paul","G Sivaram Teja"
bhaag-saale-2023,"Bhaag Saale",,2023,"Sri Simha","Neha Solanki","Pranith Bramandapally"
bubblegum-2023,"Bubblegum",,2023,"Harsha Chemudu","Maanasa Chaudhary","Ravikanth Perepu"
kranthi-2023,"Kranthi",,2023,"Rakendu Mouli","Inaya Sultana","Bhima Shankar"
kousalya-supraja-rama-2008,"Kousalya Supraja Rama",,2023,"Meka Srikanth","Sivaji","Surya Prasad"
vinaro-bhagyamu-vishnu-katha-2023,"Vinaro Bhagyamu Vishnu Katha",,2023,"Kiran Abbavaram","Kashmira Pardesi","Murali Kishor Abburu"
10-rupees-2023,"10 Rupees",,2023,"Srikanth","Shravya","S. Ravikanth"
ramabanam-2023,"Ramabanam",,2023,"Gopichand","Dimple Hayathi","Sriwass"
maataraani-mounamidhi-2023,"Maataraani Mounamidhi",,2023,"Suman Shetty","Archana Ananth","Suku Purvaj"
martin-luther-king-2023,"Martin Luther King",,2023,"Sampoornesh Babu","Saranya Pradeep","Puja Kolluru"
pindam-2023,"Pindam",,2023,"Srikanth","Kushee Ravi","Saikiran Daida"
