Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
lyf-love-your-father-2025,"LYF - Love Your Father",,2025,"Sri Harsha","Kashika Kapoor","Pavan Ketharaju"
the-great-pre-wedding-show-2025,"The Great Pre-Wedding Show",,2025,"Thiruveer Reddy","Tinu Shravya","Rahul Srinivas"
shambhala-2025,"Shambhala",,2025,"Mo Tzu-Yi","Rina Takeda","Toshio Sekine"
gandhi-tatha-chettu-2025,"Gandhi Tatha Chettu",,2025,"Chakrapani Ananda","Sukriti Veni","Padmavathi Malladi"
shivangi-2025,"Shivangi",,2025,"John Vijay","Anandhi","Devaraj Bharani Dharan"
paanch-minar-2025,"Paanch Minar",,2025,"Raj Tarun","Raashi Singh","Ramesh Kadumula"
oh-bhama-ayyo-rama-2025,"Oh Bhama Ayyo Rama",,2025,"Suhas","Malavika Manoj","Ram Godhala"
14-days-girlfriend-intlo-2025,"14 Days (girlfriend Intlo)",,2025,"Ankith Koyya","Shriya Kontham","Sriharsha Manne"
mass-jathara-2025,"Mass Jathara",,2025,"Ravi Teja","Sreeleela","Bhanu Bogavarapu"
mokshapatam-2025,"Mokshapatam",,2025,"Thiruveer Reddy","Pooja Kiran","Rahul Vanaja Rajeshwar"
1000-waala-2025,"1000 Waala",,2025,"Amith","Navitha Gangat","Afzal Shaik"
28-degree-celsius-2025,"28 Degree Celsius",,2025,"Naveen Chandra","Shalini Vadnikatti","Anil Viswanath"
the-100-2025,"The 100",,2025,"Anand","Misha Narang","Raghav Omkar Sasidhar"
arjun-chakravarthy-2025,"Arjun Chakravarthy",,2025,"Vijaya Rama Raju","Sija Rose","Vikrant Srinivas"
dear-uma-2025,"Dear Uma",,2025,"Pruthvi Ambaar","V. S. Roopa Lakshmi","Sai Rajesh Mahadav"
neeli-megha-shyama-2025,"Neeli Megha Shyama",,2025,"Vishwadev Rachakonda","Paayal Radhakrishna","Ravi S Varmaa"
jack-2025,"Jack",,2025,"Siddhu Jonnalagadda","Pam Grier","Bommarillu Bhaskar"
sundarakanda-2025,"Sundarakanda",,2025,"Nara Rohith","Sridevi Vijayakumar","Venkatesh Nimmalapudi"
ari-my-name-is-nobody-2025,"Ari: My Name is Nobody",,2025,"Sai Kumar","Anasuya Bharadwaj","V. JayaShankarr"
baapu-2025,"Baapu",,2025,"Brahmaji","Aamani, Dhanya Balakrishna","Dayakar Reddy K"
