Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
johaar-2020,"Johaar",,2020,"Chaitanya Krishna","Naina Ganguly","Teja Marni"
maa-vintha-gaadha-vinuma-2020,"Maa Vintha Gaadha Vinuma",,2020,"Kamal Kamaraju","Seerat Kapoor","Aditya Mandala"
coronavirus-2020,"Coronavirus",,2020,"Srikanth Iyengar","Daksha Nagarkar","Agasthya Manju"
utthara-2020,"Utthara",,2020,"Sriram","Karishma","Thirupathi Rao"
4-letters-2020,"4 Letters",,2020,"Dhanraj Sukhram","Apsara Rani","Raguraj R"
anaganaga-o-athdhi-2020,"Anaganaga O Athidhi",,2020,"Chaitanya","Samantha","Dayal Padmanabhan"
putham-pudhu-kaalai-2020,"Putham Pudhu Kaalai",,2020,"Jayaram","Urvashi","Sudha Kongara Prasad"
devi-2020,"Devi",,2020,"Shruti Haasan","Kajol","Priyanka Banerjee"
yaara-2020,"Yaara",,2020,"Vidyut Jammwal","Shruti Haasan","Tigmanshu Dhulia"
sita-2019,"Sita",,2019,"Bellamkonda Srinivas","Kajal Aggarwal","Teja"
evadu-thakkuva-kaadu-2019,"Evadu Thakkuva Kaadu",,2019,"Madhusudhan Rao","Tara","Raghu Jaya"
prati-roju-pandaage-2019,"Prati Roju Pandaage",,2019,"Sai Durgha Tej","Raashii Khanna","Maruthi Dasari"
2-hours-love-2019,"2 Hours Love",,2019,"Srikanth Pawar","Kriti Garg","Srikanth Pawar"
rahasyam-2019,"Rahasyam",,2019,"Sagar Sailesh","Sri Rithika","B"
nenu-aadhi-madyalo-maa-nanna-2019,"Nenu Aadhi Madyalo Maa Nanna",,2019,"Manoj Nandam","Renuka","Prem Chand"
eureka-2019,"Eureka",,2019,"Kavin","Shalini","Kavin"
prematho-cheppana-2019,"Prematho Cheppana",,2019,"Sudheer Babu","Niharika Konidela","Ravi Varma"
seven-2019,"Seven",,2019,"Havish","Nandita Swetha","Nizar Shafi"
burra-katha-2019,"Burra Katha",,2019,"Aadi","Mishti Chakraborty","Diamond Ratnababu"
abcd-american-born-confused-desi-2019,"Abcd: American-born Confused Desi",,2019,"Allu Sirish","Rukshar Dhillon","Sanjeev Reddy"
1st-rank-raju-2019,"1st Rank Raju",,2019,"Chetan Maddineni","Kashish Vohra","Naresh Kumar H. N."
chanakya-2019,"Chanakya",,2019,"Gopichand","Mehreen Pirzada","Thiru"
ranasthalam-2019,"Ranasthalam",,2019,"Sharwanand","Mehreen Pirzada","Sudheer Varma"
ninu-veedani-needanu-nene-2019,"Ninu Veedani Needanu Nene",,2019,"Sundeep Kishan","Anya Singh","Caarthick Raju"
prema-katha-chitram-2-2019,"Prema Katha Chitram 2",,2019,"Sumanth Ashwin","Nandita Swetha","Hari Kishan"
nene-mukyamantri-2019,"Nene Mukyamantri",,2019,"Nandamuri Kalyan Ram","Unknown","Srikanth Addala"
software-sudheer-2019,"Software Sudheer",,2019,"Sudheer Babu","Nadia","Rajasekhar Reddy"
iddari-lokam-okate-2019,"Iddari Lokam Okate",,2019,"Raj Tarun","Shalini Pandey","Krishnareddy Gangadhasuu"
mr-majnu-2019,"Mr. Majnu",,2019,"Akhil Akkineni","Nidhhi Agerwal","Venky Atluri"
special-2019,"Special",,2019,"Ajay","Sai Akshitha","Vastav"
ek-2019,"Ek",,2019,"Aadhi","Nicole Madell","Sri Saripalli"
aaviri-2019,"Aaviri",,2019,"Ravi Babu","Neha Chauhan","Ravi Babu"
beach-road-chetan-2019,"Beach Road Chetan",,2019,"Chetan Maddineni","No Female Lead","Chetan Maddineni"
jessie-2019,"Jessie",,2019,"Ashima Narwal","Abhinaya","Prajwal"
lakshmi-s-ntr-2019,"Lakshmi's NTR",,2019,"P. Vijay Kumar","Yagna Shetty","Ram Gopal VarmaAgasthya Manju"
operation-gold-fish-2019,"Operation Gold Fish",,2019,"Aadi Saikumar","Nithya Naresh","Sai Kiran Adivi"
rakshasudu-2019,"Rakshasudu",,2019,"Bellamkonda Srinivas","Anupama Parameswaran","Ramesh Varma"
abhinetri-2-2019,"Abhinetri 2",,2019,"Prabhu Deva","Tamannaah Bhatia","A. L. Vijay"
raja-vaaru-rani-gaaru-2019,"Raja Vaaru Rani Gaaru",,2019,"Kiran Abbavaram","Ragasiya Gorak","Ravikiran Kola"
mouname-ishtam-2019,"Mouname Ishtam",,2019,"Ram Karthik","Parvathy Arun","Ashok Koralath"
ragala-24-gantallo-2019,"Ragala 24 Gantallo",,2019,"Satyadev Kancharana","Eesha Rebba","Sreenivass Redde"
voter-2019,"Voter",,2019,"Manchu Vishnu","Surabhi","G. Karthik Reddy"
gaddalakonda-ganesh-2019,"Gaddalakonda Ganesh",,2019,"Varun Tej","Mirnalini Ravi","Harish Shankar"
rama-chakkani-seetha-2019,"Rama Chakkani Seetha",,2019,"Indhra","Sukrutha Wagle","Sriharsha Manda"
crazy-crazy-feeling-2019,"Crazy Crazy Feeling",,2019,"Vennela Kishore","Palak Lalwani","Sanjay Kartik"
tholu-bommalata-2019,"Tholu Bommalata",,2019,"Viswant","Dipti Garg","Viswanath Maganti"
danger-love-story-2019,"Danger Love Story",,2019,"Khayyum","Adia","Shekar Chandra"
krishna-rao-supermarket-2019,"Krishna Rao Supermarket",,2019,"Kriish","Elsa Ghosh","Srinath Pulakuram"
magnet-2019,"Magnet",,2019,"Abhinav Sardar","Sakshi Chaudhary","M. Adiseshasai Reddy"
mithai-2019,"Mithai",,2019,"Rahul Ramakrishna","Swetaa Varma","Prashant Kumar"
