Slug	Title (English)	Title (Telugu)	Release Year	Hero	Heroine	Director
subramanyapuram-2018	Subramanyapuram		2018	Sumanth	Eesha Rebba	Santhossh Jagarlapudi
paper-boy-2018	Paper Boy		2018	Santosh Sobhan	Tanya Hope	V. Jayashankarr
veera-bhoga-vasantha-rayalu-2018	Veera Bhoga Vasantha Rayalu		2018	Sree Vishnu	Shriya Saran	R. Indrasena
ee-nagariniki-emaindi-2018	Ee Nagariniki Emaindi		2018	Vishwak Sen	Anisha Ambrose	Tharun Bhascker
chal-mohan-ranga-2018	Chal Mohan Ranga		2018	Nithiin	Megha Akash	Krishna Chaitanya
nartanasala-2018	Nartanasala		2018	Naga Shourya	Yamini Bhaskar	Srinivasa Rao
mercury-2018	Mercury		2018	Prabhu Deva	Remya Nambeesan	Karthik Subbaraj
achari-america-yatra-2018	Achari America Yatra		2018	Vishnu Manchu	Pragya Jaiswal	G. Nageswara Reddy
masakkali-2018	Masakkali		2018	Sai Ronak	Shravya	Nabi Enugubala
kartha-karma-kriya-2018	Kartha Karma Kriya		2018	Ravi Varma	Sahar Afsha	Nagu Gavara
officer-2018	Officer		2018	Akkineni Nagarjuna	Myra Sareen	Ram Gopal Varma
aatagallu-2018	Aatagallu		2018	Nara Rohit	Darshana Banik	Paruchuri Murali
raa-raa-2018	Raa Raa		2018	Shivaji	Nikki Tamboli	Shankar
naa-peru-surya-2018	Naa Peru Surya		2018	Allu Arjun	Anu Emmanuel	Vakkantham Vamsi
anthaku-minchi-2018	Anthaku Minchi		2018	Ravi Prakash	Rashmi Gautham	Jhony
kavacham-2018	Kavacham		2018	Bellamkonda Srinivas	Kajal Aggarwal	Sreenivas Mamilla
super-sketch-2018	Super Sketch		2018	Narsing Yadav	Remya Nambeesan	Ravi Chavali
aithe-2-0-2018	Aithe 2.0		2018	Indraneil Sengupta	Zara Shah	Raj Madiraju
2-friends-2018	2 Friends		2018	Suraj Gowda	Sonia Dey Sarkar	Srinivas GLB
nannu-dochukunduvate-2018	Nannu Dochukunduvate		2018	Sudheer Babu	Nabha Natesh	R. S. Naidu
juvva-2018	Juvva		2018	Ranjith Somi	Palak Lalwani in the lead roles	Trikoti Peta
chi-la-sow-2018	Chi La Sow		2018	Sushanth	Ruhani Sharma	Rahul Ravindran
aravinda-sametha-veera-raghava-2018	Aravinda Sametha Veera Raghava		2018	N. T. Rama Rao Jr.	Pooja Hegde	Trivikram Srinivas
raju-gadu-2018	Raju Gadu		2018	Raj Tarun	Hebah Patel	Sanjana Reddy
aatagadharaa-siva-2018	Aatagadharaa Siva		2018	Doddanna	Doddanna's granddaughter, but the main heroine is Unknown	Chandra Siddhartha
aatwaja-2018	Aatwaja		2018	Shaheb Bhattacherjee	Jaya Prada	Atanu Bose
aa-bb-kk-2018	Aa Bb Kk		2018	Tamannaah Bhatia	Tamannaah Bhatia	Ramkumar Gorakhanath Shedge
mom-2018	Mom		2018	Sridevi	Catherine Frot	Ravi Udyawar
maaya-2018	Maaya		2018	Sushanth	Pridevi Raj	Neelakanta
bhagmati-2018	Bhagmati		2018	Jayaram	Anushka Shetty	Ashok G.
keni-2018	Keni		2018	Jaya Prada	R. Parthiban	M. A. Nishad
desamlo-dongalu-paddaru-2018	Desamlo Dongalu Paddaru		2018	Ali Basha	Tanishq Rajan	Gouthama rajkumar
kinar-2018	Kinar		2018	Jaya Prada	Revathi	Mummy Century
sketch-2018	Sketch		2018	Tamannaah Bhatia	Tamannaah Bhatia	Vijay Chandar
