Slug	Title (English)	Title (Telugu)	Release Year	Hero	Heroine	Director
eureka-2019	Eureka		2019	Kavin	Shalini	Kavin
prematho-cheppana-2019	Prematho Cheppana		2019	Sudheer Babu	Niharika Konidela	Ravi Varma
ranasthalam-2019	Ranasthalam		2019	Sharwanand	Mehreen Pirzada	Sudheer Varma
nene-mukyamantri-2019	Nene Mukyamantri		2019	Nandamuri Kalyan Ram	Unknown	Srikanth Addala
ek-2019	Ek		2019	Aadhi	Nicole Madell	Sri Saripalli
crazy-crazy-feeling-2019	Crazy Crazy Feeling		2019	Vennela Kishore	Palak Lalwani	Sanjay Kartik
kishore-kumar-2019	Chitralahari		2019	Sai Dharam Tej	Kalyani Priyadarshan	Kishore Tirumala
jodi-2019	Jodi		2019	Rana Jung Bahadur	Parminder Gill	Aditya Sood
tenali-ramakrishna-babl-2019	Tenali Ramakrishna BA.BL		2019	Sundeep Kishan	Hansika Motwani	G. Nageswara Reddy
kanne-kalaimaane-2019	Kanne Kalaimaane		2019	Tamannaah Bhatia	Tamannaah Bhatia	Seenu Ramasamy
police-officer-2019	Police officer		2019	Manchu Manoj	Isamu Kosugi	Ramesh Varma
khamoshi-2019	Khamoshi		2019	Tamannaah Bhatia	Tamannaah Bhatia	Chakri Toleti
jack-daniel-2019	Jack & Daniel		2019	Dileep	Anju Kurian	S.L Puram Jayasurya
petromax-2019	Petromax		2019	Tamannaah Bhatia	Tamannaah Bhatia	Rohin Venkatesan
praana-2019	Praana		2019	Nani	Nithya Menen	V. K. Prakash
n-t-r-kathanayakudu-2019	N.T.R: Kathanayakudu		2019	Nandamuri Balakrishna	Vidya Balan	Krish Jagarlamudi
miss-match-2019	Mis(s) Match		2019	Uday Shankar	Aishwarya Rajesh	N.V.N. Prasad
aa-nimisham-2019	Aa Nimisham		2019	Prasad Reddy	Rani Sree	Kala Rajesh
hippi-2019	Hippi		2019	Karthikeya	Digangana Suryavanshi	T. N. Krishna
falaknuma-das-2019	Falaknuma Das		2019	Vishwak Sen	Saloni Mishra	Vishwak Sen
n-a-2019	—N/a		2019	Eric Burdon	Sridevi	Hannes Rossacher
vajra-kavachadhara-govinda-2019	Vajra Kavachadhara Govinda		2019	Saptagiri	Vaibhavi Joshi	Arun Pawar
george-reddy-2019	George Reddy		2019	Sandeep Madhav	Muskaan Khubchandani	Jeevan Reddy
adhrushyam-2019	Adhrushyam		2019	Jabardasth Apparao	Angana Roy	Ravi Prakash Krishnamshetty
hawaa-2019	Hawaa		2019	Chaitanya Madukar	Divi Prasanna	Amole Gupte
darpanam-2019	Darpanam		2019	Tanneru Tanish	Sunny Leone	Jeevan Reddy
n-t-r-kathanayukudu-2019	N.T.R: Kathanayukudu		2019		Naana Agyei-Ampadu	Krish Jagarlamudi
rajdooth-2019	Rajdooth		2019	Meghamsh Srihari	Nakshatra	Dasari Carthyk
hulchul-2019	Hulchul		2019	Rudraksh Utam	Dhanya Balakrishna	Sripati Karri
madura-raja-2019	Madura Raja		2019	Mammootty		Vysakh
