Slug	Title (English)	Title (Telugu)	Release Year	Hero	Heroine	Director
rocky-the-revenge-2019	Rocky: The Revenge		2019	Srikanth	Eshanya Maheshwari	K. C. Bokadia
evvarikee-cheppoddu-2019	Evvarikee Cheppoddu		2019	Keshav Deepak	Gargeyi Yellapragada	Basava Shankar
4-letters-2019	4 Letters		2019	Eeshwar	Tuya Chakraborthy	R Raghuraj
rdx-love-2019	RDX Love		2019	Tejus Kancherla	Payal Rajput	Shankar Bhanu
srinivasa-reddy-2019	Mathu Vadalara		2019	Sri Simha	Athulya Chandra	Ritesh Rana
nanis-gang-leader-2019	Nani's Gang Leader		2019	Nani	Priyanka Mohan	Vikram Kumar
90ml-2019	90ML		2019	Kartikeya Gummakonda	Neha Solanki	Sekhar Reddy Yerra
kee-2019	Kee		2019	Jiiva	Nikki Galrani	Kalees
action-2019	Action		2019	Tamannaah Bhatia	Tamannaah Bhatia	Sundar C
thipparaa-meesam-2019	Thipparaa Meesam		2019	Sree Vishnu	Nikki Tamboli	Krishna Vijay
manasanamaha-2020	Manasanamaha		2020	Viraj Ashwin	Drishika Chander	Deepak Reddy
family-a-made-at-home-short-film-2020	Family - A Made at Home Short Film		2020	Amitabh Bachchan	Priyanka Chopra Jonas	Prasoon Pandey
putham-pudhu-kaalai-2020	Putham Pudhu Kaalai		2020	Jayaram	Urvashi	Sudha Kongara Prasad
devi-2020	Devi		2020	Shruti Haasan	Kajol	Priyanka Banerjee
yaara-2020	Yaara		2020	Vidyut Jammwal	Shruti Haasan	Tigmanshu Dhulia
