Slug	Title (English)	Title (Telugu)	Release Year	Hero	Heroine	Director
shambhala-2025	Shambhala		2025	Mo Tzu-Yi	Rina Takeda	Toshio Sekine
subham-2025	Subham		2025	Srinivas Gavireddy	Samantha	Praveen Kandregula
oka-brundavanam-2025	Oka Brundavanam		2025	Ananth Babu	Kalyani Raju	Satya Botcha
dhandoraa-2025	Dhandoraa		2025	Sivaji Sontineni	Bindu Madhavi	Murali Kanth Devasoth
baahubali-the-epic-2025	Baahubali: The Epic		2025	Prabhas	Anushka Shetty	S. S. Rajamouli
police-vari-heccharika-2025	Police Vari Heccharika		2025	Subhalekha Sudhakar	Himaja	Babji
junior-2025	Junior		2025	Kireeti Reddy	Sreeleela, Genelia DSouza	Radhakrishna Reddy
show-time-2025	Show Time		2025	Naveen Chandra	Kamakshi Bhaskarla	Madhan Kumar Dhakshinamoorthy
meghalu-cheppina-prema-katha-2025	Meghalu Cheppina Prema Katha		2025	Naresh Agastya	Rabiya Khatoon	Vipin
tuk-tuk-2025	Tuk Tuk		2025	Harsh Roshan	Saanve Meghana	Supreeth C Krishna
premistunnaa-2025	Premistunnaa		2025	Subbu Panchu	Viji Chandrasekhar	Shankar Bhanu
elumale-2025	Elumale		2025	Jagapathi Babu	Priyanka Achar	Punit Rangaswamy
dinasari-2025	Dinasari		2025	Srikanth	Meera Krishnan	G. Sankar
blackmail-2025	Blackmail		2025	Srikanth	Teju Ashwini	Mu. Maran
konjam-kadhal-konjam-modhal-2025	Konjam Kadhal Konjam Modhal		2025	Srikanth	Pujita Ponnada	K. Rangaraj
thala-2025	Thala		2025	Rajiv Kanakala	Indraja	Amma Rajasekhar
pontons-heart-2025	Ponton's Heart		2025	Marija Labudović	Jadranka Mamić	Senad Šahmanović
bhavani-ward-1997-2025	Bhavani Ward 1997		2025	Jabardasth Apparao	Gayatri Gupta	GD Narasimmha
kingdom-2025	Kingdom		2025	Vijay Deverakonda	Bhagyashri Borse	Poppy Bullard
andhra-king-taluka-2025	Andhra King Taluka		2025	Ram Pothineni	Bhagyashri Borse	Mahesh Babu P
23-iravai-moodu-2025	23 (Iravai Moodu)		2025	Teja	Jhansi	Raj Rachakonda
thank-you-dear-2025	Thank You Dear		2025	Dhanush Raghumudri	Hebah Patel	Thota Srikanth Kumar
ilanti-cinema-meereppudu-chusundaru-2025	Ilanti Cinema Meereppudu Chusundaru		2025	Super Raja	Deepti Sanjeev Sivan	Super Raja
12a-railway-colony-2025	12A Railway Colony		2025	Allari Naresh	Kamakshi Bhaskarla	Nani Kasaragadda
dhanraj-2025	Ramam Raghavam		2025	Samuthirakani	Mokksha	Dhanraj Koranani
break-out-2025	Boss		2025	Jo Woo-jin	Hwang Woo-seul-hye	Ra Hee-chan
super-raja-2025	Super Raja		2025	Super Raja	Chandana Palanki	Super Raja
