slug,title_en,year,title_te
tillu-2024,(Tillu)²,2024,(తిల్లు)²
100-crores-2024,100 Crores,2024,100 కోట్లు
105-minuttess-2024,105 Minuttess,2024,105 మినుటటెసస
1980-lo-radhekrishna-2024,1980 Lo Radhekrishna,2024,1980 లో రాధెక్రిశనా
35-chinna-katha-kaadu-2024,35 - Chinna Katha Kaadu,2024,35 చిననా కథ కాడు
a-goa-tripp-2024,A Goa Tripp...,2024,ఎ గోఅ ట్రిపప...
aa-okkati-adakku-2024,Aa Okkati Adakku,2024,ఆ ఒక్కటి అడక్కు
aarambham-2024,Aarambham,2024,ఆరంభం
aay-2024,Aay,2024,ఆయ్
agent-narasimha117-2024,Agent Narasimha‐117,2024,ఏజెంట్ నర్స్ిమహా‐117
aham-reboot-2024,Aham Reboot,2024,ాహం రెబూట
akkada-varu-ikkada-unnaru-2024,Akkada Varu Ikkada Unnaru,2024,అక్కడ వర్ు ఇక్కడ ుననర్ు
akshara-2024,Akshara,2024,క్శర్ా
alanaati-ramachandrudu-2024,Alanaati Ramachandrudu,2024,ల్న్ాటి రంాచన్డ్రుడు
alanaati-ramchandrudu-2024,Alanaati Ramchandrudu,2024,ల్న్ాటి రంచన్డ్రుడు
ambajipeta-marriage-band-2024,Ambajipeta Marriage Band,2024,ంబాజిపెటా మ్యారేజ్ బ్యాండ్
anaganaga-oka-rowdy-tba,Anaganaga Oka Rowdy,2024,అనగనగా ఒక రౌడీ
anandapuram-diaries-2024,Anandapuram Diaries,2024,న్న్డప్ర్ం డిర్ిెస
anthima-theerpu-2024,Anthima Theerpu,2024,న్తిమా తీరపు
appudo-ippudo-eppudo-2024,Appudo Ippudo Eppudo,2024,ప్పుడో ిపపుడో ెపపుడో
average-student-nani-2024,Average Student Nani,2024,ావర్ాగె స్టుడెనట నన్ి
bachhala-malli-2024,Bachhala Malli,2024,బాఛల్ా మల్లి
bench-life-2024,Bench Life,2024,బెనచ లైఫ్
bhaje-vaayu-vegam-2024,Bhaje Vaayu Vegam,2024,భాజె వాయు వెగం
bhale-unnade-2024,Bhale Unnade,2024,భల్ె ుననడ్ె
bhamakalapam-2-2024,Bhamakalapam 2,2024,భామాకళాపం 2
bharathanatyam-2024,Bharathanatyam,2024,భరతనాట్యం
bhavanam-2024,Bhavanam,2024,భావన్ం
bhimaa-2024,Bhimaa,2024,భీమా
bhoothaddam-bhaskar-narayana-2024,Bhoothaddam Bhaskar Narayana,2024,భూతడ్డం భాస్కర్ నర్ాయన్ా
bootcut-balaraju-2024,Bootcut Balaraju,2024,బూటకుట బల్ర్ాజు
brahmavaram-ps-paridilo-2024,Brahmavaram PS Paridilo,2024,బ్రాహమావర్ం పస పర్ిడిలో
brahmmavaram-p-s-paridhilo-2024,Brahmmavaram P.S. Paridhilo,2024,బ్రాహమమావర్ం ప.స. పర్ిధిలో
buddy-2024,Buddy,2024,బుడడయ
chaari-111-2024,Chaari 111,2024,చారి 111
committee-kurrollu-2024,Committee Kurrollu,2024,కోమమిటటీ కర్రోలలు
crime-reel-2024,Crime Reel,2024,కరిమె రీల
devaki-nandana-vasudeva-2024,Devaki Nandana Vasudeva,2024,డెవక్ి నన్డన్ా వస్ుడెవా
dheera-2024,Dheera,2024,ధీరా
dhoom-dhaam-2024,Dhoom Dhaam,2024,ధూమ ధామ
double-engine-2024,Double Engine,2024,డబుల్ ెనగినె
double-ismart-2024,Double iSmart,2024,డబుల్ ఐస్మార్ట్
drill-2024,Drill,2024,డ్రిలల
drinker-sai-2024,Drinker Sai,2024,డ్రినకర్ సై
eesaraina-2024,Eesaraina!?,2024,ీసర్ైనా!?
fear-2024,Fear,2024,ఫీర
gaami-2024,Gaami,2024,గామి
gam-gam-ganesha-2024,Gam Gam Ganesha,2024,గం గం గన్ెశా
gangs-of-godavari-2024,Gangs of Godavari,2024,గన్గస ఆఫ్ గోడావర్ి
geethanjali-malli-vachindi-2024,Geethanjali Malli Vachindi,2024,గీతన్జల్ి మల్లి వాచినడి
