ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",2026,"Prabhas","Prashanth Neel",,NO,"","RATING, POSTER, SYNOPSIS"
9b7b604c-6907-4c79-bd7f-dd22d1a3f974,"Devara: Part 2",2026,"N. T. Rama Rao Jr.","Koratala Siva",,YES,"Devara 2 is a high-octane action entertainer directed by Koratala Siva. N.T. Rama Rao Jr. plays the ","RATING"
27baa242-d2e1-44fb-b08e-30d39a95e688,"Mental (Appatlo Okadundevadu)",2016,"Sree Vishnu","Sagar K Chandra",7.6,NO,"","POSTER, SYNOPSIS"
340635c8-f4a4-410e-aa3f-ed1ba3f314f3,"Jayammu Nischayammu Raa",2016,"Srinivasa Reddy","Shiva Raj Kanumuri",5,YES,"Jayammu Nischayammu Raa is a 2016 Indian Telugu comedy film directed and produced by Shiva Raj Kanum",""
01a6f455-21ba-4559-be6d-0df444d63a12,"Bhale Mogudu Bhale Pellam",2011,"Rajendra Prasad","Dinesh Baboo",5.2,NO,"","POSTER, SYNOPSIS"
bb35eb63-49c4-42aa-a405-7ca08b8a813d,"Betting Bangaraju",2010,"Allari Naresh","E. Sattibabu",5.8,NO,"","POSTER, SYNOPSIS"
5e4052c0-9936-4bc9-9284-5adf79dcf4f4,"Shubhapradam",2010,"Allari Naresh","K. Viswanath",6.1,NO,"","POSTER, SYNOPSIS"
db213db4-f0ba-4eca-ae5f-b291aef4be49,"Iddaru Attala Muddula Alludu",2006,"","Dev Anand",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
6dcf4ef0-f5e9-4717-96dd-14513908ce02,"Gopi – Goda Meedha Pilli",2006,"Allari Naresh","Janardhana Maharshi",,NO,"","RATING, POSTER, SYNOPSIS"
06fbeb2c-ab89-423c-9e63-6009e3e96688,"సుందరానికి తొందరెక్కువ",2006,"Allari Naresh","Phani Prakash",,NO,"","RATING, POSTER, SYNOPSIS"
8c3ef912-ecd6-4719-ba68-f86a89b334db,"Mayajalam",2006,"Mukesh","S. V. Krishna Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
5d32087c-cf2b-460d-9ee7-fa8b793758b6,"Vikramarkudu",2005,"Ravi Teja","S. S. Rajamouli",8.1,NO,"","POSTER, SYNOPSIS"
98980f9f-7650-43fc-8a2d-912fbd9e1e88,"Apparao Driving School",2004,"","Anji Seenu",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"Angala Parameswari",2002,"Roja","Phani Prakash",,NO,"","RATING, POSTER, SYNOPSIS"
3a00d145-9c46-46d1-a8fa-b88404f6b2a8,"Kottai Mariamman",2002,"","Rama Narayanan",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
863ad6f1-6b43-4e86-bd23-84999161ef4b,"Time Pass",2001,"Ajay","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
472c726b-5972-45f2-9264-8b06ca5fecbc,"Vamsoddarakudu",2000,"","Sarath",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
f98d67e2-8668-4dbc-bf9c-f3237daf9252,"Sakutumba Saparivaara Sametham",2000,"","S. V. Krishna Reddy",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
92f3d7d0-2828-4bf2-bd87-6b8c77009d57,"Preyasi Rave",1999,"","Chandra Mahesh",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
e1b19c7d-afa2-4b4d-aaf2-d8216917c57c,"Doni Sagali",1998,"","Rajendra Singh Babu",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
6c6084dd-9ce3-4572-b4a2-320ec0de4731,"Aayanagaru",1998,"","Nagendra Magapu",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
e3456f34-c803-4d4d-9336-bfe207b251c3,"Egire Pavuramaa",1997,"","S. V. Krishna Reddy",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
3ab70ca1-8978-4682-9437-d5ad5fb43292,"Jai Bajarangbali",1997,"","Rama Narayanan",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
aea9293a-ee96-4bbe-aa57-f7e84eff23b4,"Kadavul",1997,"Velu Prabhakaran","Velu Prabhakaran",,NO,"A 1997 Telugu film directed by Velu Prabhakaran.","RATING, POSTER, SYNOPSIS"
a4c01cca-6092-4dfa-8290-683e601e4795,"Tamizh Selvan",1996,"Vijayakanth","Bharathiraja",,NO,"A 1996 Telugu film directed by Bharathiraja.","RATING, POSTER, SYNOPSIS"
fd10c7b5-1e25-4bcc-b82d-b4c6d1b48485,"Shri Krishnarjuna Vijayam",1996,"Nandamuri Balakrishna","Singeetam Srinivasa Rao",,NO,"","RATING, POSTER, SYNOPSIS"
4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8,"Topi Raja Sweety Roja",1996,"","Dr. N. Shiva Prasad",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
6d038721-fec0-4ba3-a90b-acbb26ef088e,"Raja Muthirai",1995,"Arun Pandian","R. K. Selvamani",,NO,"","RATING, POSTER, SYNOPSIS"
86e58157-d33f-48d1-a562-7413efddffd9,"Shubha Lagnam",1994,"Jagapathi Babu","S. V. Krishna Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
5ac15346-c1f1-4804-8223-04f599383fbc,"Gumrah",1994,"Sridevi","Mahesh Bhatt",,NO,"A 1994 Telugu film starring Sridevi and Mala Sinha.","RATING, POSTER"
4765aa1a-728f-4b28-a125-719e79bcb3f8,"Swami Vivekananda",1994,"Pradeep Kumar","G. V. Iyer",,NO,"","RATING, POSTER, SYNOPSIS"
eab52068-0193-4c81-8808-34ca070abbe4,"Lakshyam",1993,"Gopichand","Sriwass",,NO,"","RATING, POSTER, SYNOPSIS"
c5a9ffc1-61b3-4990-b091-156774847778,"Khuda Gawah",1993,"Amitabh Bachchan","Mukul Anand",,NO,"A 1993 Telugu film starring Sridevi and Sridevi.","RATING, POSTER, SYNOPSIS"
0c948cb3-cd84-420c-927b-db274e58fb1f,"Insaniyat Ke Devta",1993,"Raaj Kumar","K. C. Bokadia",,NO,"A 1993 Telugu film directed by K. C. Bokadia.","RATING, POSTER, SYNOPSIS"
65be9b54-3bc4-4e67-a7b0-75fa3e0e8556,"Brundavanam",1993,"Rajendra Prasad","Singeetam Srinivasa Rao",,NO,"","RATING, POSTER, SYNOPSIS"
3cd34587-704c-4944-82da-dd7e0f7dfd9e,"Best Actor",1993,"Jagapathi Babu","Martin Prakkat",,NO,"A 1993 Telugu film starring Jagapathi Babu.","RATING, POSTER, SYNOPSIS"
b149e51c-20e1-42fa-92c9-dbaa9f117263,"Kundan",1993,"Jaya Prada","K. C. Bokadia",,NO,"A 1993 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING, POSTER"
62722419-12a0-4638-9492-f4324d4b78f2,"Veerta",1993,"Jaya Prada","Shibu Mitra",,NO,"A 1993 Telugu film directed by Shibu Mitra starring Jaya Prada and Jaya Prada.","RATING, POSTER"
af26d3a3-fd41-451d-9499-c0613cb42335,"Raktha Tharpanam",1992,"Krishna","Krishna",,NO,"A 1992 Telugu film directed by Krishna starring Krishna.","RATING, POSTER"
460a5f1a-7191-45f3-921d-82c3be9b2c11,"Aasmaan Se Gira",1992,"Raghubir Yadav","Pankaj Parashar",,NO,"A 1992 Telugu film directed by Pankaj Parashar.","RATING, POSTER, SYNOPSIS"
