ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",2026,"Prabhas","Prashanth Neel",,NO,"","RATING, POSTER, SYNOPSIS"
6dcf4ef0-f5e9-4717-96dd-14513908ce02,"Gopi – Goda Meedha Pilli",2006,"Allari Naresh","Janardhana Maharshi",,NO,"","RATING, POSTER, SYNOPSIS"
06fbeb2c-ab89-423c-9e63-6009e3e96688,"సుందరానికి తొందరెక్కువ",2006,"Allari Naresh","Phani Prakash",,NO,"","RATING, POSTER, SYNOPSIS"
8c3ef912-ecd6-4719-ba68-f86a89b334db,"Mayajalam",2006,"Mukesh","S. V. Krishna Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"Angala Parameswari",2002,"Roja","Phani Prakash",,NO,"","RATING, POSTER, SYNOPSIS"
aea9293a-ee96-4bbe-aa57-f7e84eff23b4,"Kadavul",1997,"Velu Prabhakaran","Velu Prabhakaran",,NO,"A 1997 Telugu film directed by Velu Prabhakaran.","RATING, POSTER, SYNOPSIS"
a4c01cca-6092-4dfa-8290-683e601e4795,"Tamizh Selvan",1996,"Vijayakanth","Bharathiraja",,NO,"A 1996 Telugu film directed by Bharathiraja.","RATING, POSTER, SYNOPSIS"
fd10c7b5-1e25-4bcc-b82d-b4c6d1b48485,"Shri Krishnarjuna Vijayam",1996,"Nandamuri Balakrishna","Singeetam Srinivasa Rao",,NO,"","RATING, POSTER, SYNOPSIS"
6d038721-fec0-4ba3-a90b-acbb26ef088e,"Raja Muthirai",1995,"Arun Pandian","R. K. Selvamani",,NO,"","RATING, POSTER, SYNOPSIS"
86e58157-d33f-48d1-a562-7413efddffd9,"Shubha Lagnam",1994,"Jagapathi Babu","S. V. Krishna Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
5ac15346-c1f1-4804-8223-04f599383fbc,"Gumrah",1994,"Sridevi","Mahesh Bhatt",,NO,"A 1994 Telugu film starring Sridevi and Mala Sinha.","RATING, POSTER"
4765aa1a-728f-4b28-a125-719e79bcb3f8,"Swami Vivekananda",1994,"Pradeep Kumar","G. V. Iyer",,NO,"","RATING, POSTER, SYNOPSIS"
eab52068-0193-4c81-8808-34ca070abbe4,"Lakshyam",1993,"Gopichand","Sriwass",,NO,"","RATING, POSTER, SYNOPSIS"
c5a9ffc1-61b3-4990-b091-156774847778,"Khuda Gawah",1993,"Amitabh Bachchan","Mukul Anand",,NO,"A 1993 Telugu film starring Sridevi and Sridevi.","RATING, POSTER, SYNOPSIS"
0c948cb3-cd84-420c-927b-db274e58fb1f,"Insaniyat Ke Devta",1993,"Raaj Kumar","K. C. Bokadia",,NO,"A 1993 Telugu film directed by K. C. Bokadia.","RATING, POSTER, SYNOPSIS"
65be9b54-3bc4-4e67-a7b0-75fa3e0e8556,"Brundavanam",1993,"Rajendra Prasad","Singeetam Srinivasa Rao",,NO,"","RATING, POSTER, SYNOPSIS"
3cd34587-704c-4944-82da-dd7e0f7dfd9e,"Best Actor",1993,"Jagapathi Babu","Martin Prakkat",,NO,"A 1993 Telugu film starring Jagapathi Babu.","RATING, POSTER, SYNOPSIS"
b149e51c-20e1-42fa-92c9-dbaa9f117263,"Kundan",1993,"Jaya Prada","K. C. Bokadia",,NO,"A 1993 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING, POSTER"
62722419-12a0-4638-9492-f4324d4b78f2,"Veerta",1993,"Jaya Prada","Shibu Mitra",,NO,"A 1993 Telugu film directed by Shibu Mitra starring Jaya Prada and Jaya Prada.","RATING, POSTER"
af26d3a3-fd41-451d-9499-c0613cb42335,"Raktha Tharpanam",1992,"Krishna","Krishna",,NO,"A 1992 Telugu film directed by Krishna starring Krishna.","RATING, POSTER"
460a5f1a-7191-45f3-921d-82c3be9b2c11,"Aasmaan Se Gira",1992,"Raghubir Yadav","Pankaj Parashar",,NO,"A 1992 Telugu film directed by Pankaj Parashar.","RATING, POSTER, SYNOPSIS"
2806a32b-9ea1-4c87-a85b-73cc4172683c,"Tyagi",1992,"Jaya Prada","K. C. Bokadia",,NO,"A 1992 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING, POSTER"
03b317cc-8b87-45b0-92e5-ad1de7eb7c92,"ChaalBaaz",1990,"Sridevi","Pankaj Parashar",,NO,"A 1990 Telugu film starring Sridevi and Sunny Deol.","RATING, POSTER"
5f1d4d69-88ef-4e03-b3ce-58f19fd8966f,"Naaka Bandi",1990,"Dharmendra","Shibu Mitra",,NO,"A 1990 Telugu film directed by Shibu Mitra.","RATING, POSTER, SYNOPSIS"
604a0f33-c901-469c-8e14-8be079baa68b,"Joshilaay",1989,"Sunny Deol","Sibte Hassan Rizvi",,NO,"A 1989 Telugu film directed by Sibte Hassan Rizvi.","RATING, POSTER"
bac8ce89-b602-4226-a4f9-f1aa7acfc1e8,"Jaadugar",1989,"Vikas Anand","Prakash Mehra",,NO,"A 1989 Telugu film directed by Prakash Mehra.","RATING, POSTER, SYNOPSIS"
688efd66-5e24-4a35-8410-50f4519988eb,"Paraya Ghar",1989,"Rishi Kapoor","Kalpataru",,NO,"A 1989 Telugu film directed by Kalpataru starring Jaya Prada and Jaya Prada.","RATING, POSTER"
