ID,Title,Year,Hero,Director,Our Rating,TMDB Rating,Has Poster,Synopsis Preview
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",2023,"","Prashanth Neel",,,NO,""
27baa242-d2e1-44fb-b08e-30d39a95e688,"మెంటల్",2016,"Sree Vishnu","Vivek Athreya",,,NO,""
5aad788e-44b5-4580-be21-d56161ccd1cc,"Best Supporting Actor",2016,"Jagapathi Babu","Alongkod Euepaiboon",,,NO,"A 2016 Telugu film starring Jagapathi Babu and Sakuntala Teinpairoj."
325ebc31-6daf-4346-a4d2-68759ab6b9c4,"Ethiri En 3",2012,"Srikanth","Ramkumar",,,NO,""
1f339783-8a95-40dc-a318-fdb69edc331e,"Marana Porali",2011,"Sasikumar","Samuthirakani",,,NO,""
5cd8b5da-c6cc-4acc-822a-361acc6e6803,"Kalabha Mazha",2011,"Sreejith Vijay","P. Bhaskaran",,,NO,""
01a6f455-21ba-4559-be6d-0df444d63a12,"Bhale Mogudu Bhale Pellam",2011,"","Dinesh Baboo",,,NO,""
5e4052c0-9936-4bc9-9284-5adf79dcf4f4,"Shubhapradam",2010,"Allari Naresh","K. Viswanath",,,NO,""
bb35eb63-49c4-42aa-a405-7ca08b8a813d,"Betting Bangaraju",2010,"Allari Naresh","E. Sattibabu",,,NO,""
7064c032-a15f-4d90-bfaa-68d67cc73a71,"Sesh Sangat",2009,"Ashish Vidhyarthi","Ashoke Viswanathan",,,NO,"A 2009 Telugu film directed by revelation about AA starring Jaya Prada."
dd03f412-fd55-4672-8f54-53dcbd7f1b0a,"Best Supporting Actor",2007,"Jagapathi Babu","Alongkod Euepaiboon",,,NO,"A 2007 Telugu film starring Jagapathi Babu and Sakuntala Teinpairoj."
aa1e8f31-fd2c-4056-8cfb-ce8924755446,"State Rowdy",2007,"Chiranjeevi","B. Gopal",,,NO,""
2d97f41a-b367-4705-b93b-eb769e06d86d,"Varakatnam",2007,"N. T. Rama Rao","N.T. Rama Rao",,,NO,""
06fbeb2c-ab89-423c-9e63-6009e3e96688,"సుందరానికి తొందరెక్కువ",2006,"Allari Naresh","Phani Prakash",,,NO,""
70f98b85-f4f1-499a-a0bf-ad2c7ea9fbc2,"Pasa Kiligal",2006,"Prabhu","P. Amirdhan",,,NO,"A 2006 Telugu film directed by P. Amirdhan."
6dcf4ef0-f5e9-4717-96dd-14513908ce02,"Gopi – Goda Meedha Pilli",2006,"Allari Naresh","Janardhana Maharshi",,,NO,""
ab5a6f6d-6648-4657-b0ae-a7f9ca5a5a56,"Kizhakku Kadarkarai Salai",2006,"Srikanth","S. S. Stanley",,,NO,"A 2006 Telugu film directed by S. S. Stanley starring Srikanth and Bhavana."
4d2c73aa-2438-4708-9727-697346a8dc60,"Kizhakku Kadalkarai Salai",2006,"Srikanth","S. S. Stanley",,,NO,""
8c3ef912-ecd6-4719-ba68-f86a89b334db,"Mayajalam",2006,"Mukesh","S. V. Krishna Reddy",,,NO,""
db213db4-f0ba-4eca-ae5f-b291aef4be49,"Iddaru Attala Muddula Alludu",2006,"","Dev Anand",,,NO,""
5d32087c-cf2b-460d-9ee7-fa8b793758b6,"Vikram",2005,"Ravi Teja","S. S. Rajamouli",,,NO,""
7bfdc8d2-dccf-4531-b941-8264cae913ac,"Ee Snehatheerathu",2004,"","P. Sivaprasad",,,NO,""
98980f9f-7650-43fc-8a2d-912fbd9e1e88,"Apparao Driving School",2004,"","Anji Seenu",,,NO,""
b0f35238-467a-4053-a227-de1aaa774bc3,"Joot",2004,"Srikanth","Azhagam Perumal",,,NO,""
3a00d145-9c46-46d1-a8fa-b88404f6b2a8,"Kottai Mariamman",2002,"","Rama Narayanan",,,NO,""
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"Angala Parameswari",2002,"Roja","Phani Prakash",,,NO,""
d89edc41-6671-4b87-930e-cc8084feb546,"Sonnal Thaan Kaadhala",2001,"T. Rajendar","T. Rajendar",,,NO,"A 2001 Telugu film directed by T. Rajendar."
087d01b2-e5dc-4cc7-84b2-8c93f3318bdb,"Mitta Miraasu",2001,"Prabhu","Mu Kalanjiyam",,,NO,"A 2001 Telugu film directed by Mu Kalanjiyam."
863ad6f1-6b43-4e86-bd23-84999161ef4b,"Time Pass",2001,"Ajay","",,,NO,""
472c726b-5972-45f2-9264-8b06ca5fecbc,"Vamsoddarakudu",2000,"","Sarath",,,NO,""
f98d67e2-8668-4dbc-bf9c-f3237daf9252,"Sakutumba Saparivaara Sametham",2000,"","S. V. Krishna Reddy",,,NO,""
f5d9c4f5-51ef-4fbe-a6a0-7e4be847959c,"Best Actor",2000,"Jagapathi Babu","Martin Prakkat",,,NO,"A 2000 Telugu film starring Jagapathi Babu."
f4967704-936e-44a6-937f-bf26028da430,"Sandhitha Velai",2000,"Karthik Muthuraman","Ravichandran",,,NO,"A 2000 Telugu film directed by Ravichandran."
06c75226-bb03-46f7-b287-d0dfba83a3e4,"Mugham",1999,"Nassar","Gnana Rajasekaran",,,NO,"A 1999 Telugu film directed by Gnana Rajasekaran."
92f3d7d0-2828-4bf2-bd87-6b8c77009d57,"Preyasi Rave",1999,"","Chandra Mahesh",,,NO,""
ef996bc7-4245-47bf-8652-378f46188edc,"Chinna Raja",1999,"Karthik Muthuraman","Chitra Lakshmanan",,,NO,"A 1999 Telugu film directed by Chitra Lakshmanan."
5b98f22d-d17a-4161-9174-07dd00104b53,"En Aasai Rasave",1998,"Sivaji Ganesan","Kasthoori Raja",,,NO,"A 1998 Telugu film directed by Kasthoori Raja."
e1b19c7d-afa2-4b4d-aaf2-d8216917c57c,"Doni Sagali",1998,"","Rajendra Singh Babu",,,NO,""
6c6084dd-9ce3-4572-b4a2-320ec0de4731,"Aayanagaru",1998,"","Nagendra Magapu",,,NO,""
daa4e88c-6e2d-4118-ac78-65177db37b98,"Best Supporting Actor",1998,"Jagapathi Babu","Alongkod Euepaiboon",,,NO,"A 1998 Telugu film starring Jagapathi Babu."
3ab70ca1-8978-4682-9437-d5ad5fb43292,"Jai Bajarangbali",1997,"","Rama Narayanan",,,NO,""
e3456f34-c803-4d4d-9336-bfe207b251c3,"Egire Pavuramaa",1997,"","S. V. Krishna Reddy",,,NO,""
5205c2dc-2f36-48c9-9807-3153e897adbd,"Gunda Gardi",1997,"Aditya Pancholi","V. Sai Prasad",,,NO,""
aea9293a-ee96-4bbe-aa57-f7e84eff23b4,"Kadavul",1997,"Velu Prabhakaran","Velu Prabhakaran",,,NO,"A 1997 Telugu film directed by Velu Prabhakaran."
a4c01cca-6092-4dfa-8290-683e601e4795,"Tamizh Selvan",1996,"Vijayakanth","Bharathiraja",,,NO,"A 1996 Telugu film directed by Bharathiraja."
fd10c7b5-1e25-4bcc-b82d-b4c6d1b48485,"Shri Krishnarjuna Vijayam",1996,"Nandamuri Balakrishna","Singeetam Srinivasa Rao",,,NO,""
4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8,"Topi Raja Sweety Roja",1996,"","Dr. N. Shiva Prasad",,,NO,""
6d038721-fec0-4ba3-a90b-acbb26ef088e,"Raja Muthirai",1995,"Arun Pandian","R. K. Selvamani",,,NO,""
86e58157-d33f-48d1-a562-7413efddffd9,"Shubha Lagnam",1994,"Jagapathi Babu","S. V. Krishna Reddy",,,NO,""
4765aa1a-728f-4b28-a125-719e79bcb3f8,"Swami Vivekananda",1994,"Pradeep Kumar","G. V. Iyer",,,NO,""
5ac15346-c1f1-4804-8223-04f599383fbc,"Gumrah",1994,"Sridevi","Mahesh Bhatt",,,NO,"A 1994 Telugu film starring Sridevi and Mala Sinha."
0c948cb3-cd84-420c-927b-db274e58fb1f,"Insaniyat Ke Devta",1993,"Raaj Kumar","K. C. Bokadia",,,NO,"A 1993 Telugu film directed by K. C. Bokadia."
3cd34587-704c-4944-82da-dd7e0f7dfd9e,"Best Actor",1993,"Jagapathi Babu","Martin Prakkat",,,NO,"A 1993 Telugu film starring Jagapathi Babu."
dfd4a9aa-feb4-40ce-9661-377d1f648c9d,"Uzhaippali",1993,"Rajinikanth","P. Vasu",,,NO,"A 1993 Telugu film directed by P. Vasu."
62722419-12a0-4638-9492-f4324d4b78f2,"Veerta",1993,"Jaya Prada","Shibu Mitra",,,NO,"A 1993 Telugu film directed by Shibu Mitra starring Jaya Prada and Jaya Prada."
eab52068-0193-4c81-8808-34ca070abbe4,"Lakshyam",1993,"Gopichand","Sriwass",,,NO,""
b149e51c-20e1-42fa-92c9-dbaa9f117263,"Kundan",1993,"Jaya Prada","K. C. Bokadia",,,NO,"A 1993 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada."
65be9b54-3bc4-4e67-a7b0-75fa3e0e8556,"Brundavanam",1993,"Rajendra Prasad","Singeetam Srinivasa Rao",,,NO,""
c5a9ffc1-61b3-4990-b091-156774847778,"Khuda Gawah",1993,"Amitabh Bachchan","Mukul Anand",,,NO,"A 1993 Telugu film starring Sridevi and Sridevi."
72fed997-ae8e-48ae-bed7-3831418483e3,"Chembaruthi",1992,"Prashanth","R K Selvamani",,,NO,"A 1992 Telugu film directed by R K Selvamani."
460a5f1a-7191-45f3-921d-82c3be9b2c11,"Aasmaan Se Gira",1992,"Raghubir Yadav","Pankaj Parashar",,,NO,"A 1992 Telugu film directed by Pankaj Parashar."
2806a32b-9ea1-4c87-a85b-73cc4172683c,"Tyagi",1992,"Jaya Prada","K. C. Bokadia",,,NO,"A 1992 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada."
af26d3a3-fd41-451d-9499-c0613cb42335,"Raktha Tharpanam",1992,"Krishna","Krishna",,,NO,"A 1992 Telugu film directed by Krishna starring Krishna."
d5edc733-e59b-42c0-ae51-6980c71906fd,"Sapnon Ka Mandir",1991,"Jaya Prada","",,,NO,"A 1991 Telugu film starring Jaya Prada and Jaya Prada."
5f1d4d69-88ef-4e03-b3ce-58f19fd8966f,"Naaka Bandi",1990,"Dharmendra","Shibu Mitra",,,NO,"A 1990 Telugu film directed by Shibu Mitra."
03b317cc-8b87-45b0-92e5-ad1de7eb7c92,"ChaalBaaz",1990,"Sridevi","Pankaj Parashar",,,NO,"A 1990 Telugu film starring Sridevi and Sunny Deol."
881ddeb3-68c8-4968-8a40-ea3913edd60a,"Thanedaar",1990,"Sanjay Dutt","Raj N. Sippy",,,NO,"A 1990 Telugu film directed by Raj N. Sippy."
90ae382d-4411-435f-a6b4-0a7756a0187d,"Aaj Ka Arjun",1990,"Jaya Prada","K. C. Bokadia",,,NO,"A 1990 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada."
8f5393a3-7edb-45e8-83d8-14f6146f20b6,"Shehzaade",1989,"Dharmendra","Raj N. Sippy",,,NO,"A 1989 Telugu film directed by Raj N. Sippy starring Jaya Prada and Jaya Prada."
dbb82d4e-a8f0-4ace-90a8-9e5a7f3f35de,"Preminchi Choodu",1989,"Shaam","A. Kodandarami Reddy",,,NO,""
c0d119f0-3840-4620-ac11-413e42cd8761,"Poola Rangadu",1989,"Sunil Varma","Relangi Narasimha Rao",,,NO,""
ab03592a-8f48-4478-a2ff-b5ed09d237bc,"Gair Kanooni",1989,"Govinda","Prayag Raj",,,NO,"A 1989 Telugu film directed by Prayag Raj."
23616eaa-6b34-4306-8af4-73a942ad86cc,"Chaalbaaz",1989,"Sridevi","Pankaj Parashar",,,NO,"A 1989 Telugu film directed by Pankaj Parashar starring Sridevi and Sridevi."
265c9456-3b66-40c7-91e0-eb98dcefc518,"Majboor",1989,"Jaya Prada","Rama Rao Tatineni",,,NO,"A 1989 Telugu film directed by Rama Rao Tatineni starring Jaya Prada and Jaya Prada."
604a0f33-c901-469c-8e14-8be079baa68b,"Joshilaay",1989,"Sunny Deol","Sibte Hassan Rizvi",,,NO,"A 1989 Telugu film directed by Sibte Hassan Rizvi."
688efd66-5e24-4a35-8410-50f4519988eb,"Paraya Ghar",1989,"Rishi Kapoor","Kalpataru",,,NO,"A 1989 Telugu film directed by Kalpataru starring Jaya Prada and Jaya Prada."
0649e455-c3b8-4562-a1e4-c1e87653a230,"Hum Bhi Insaan Hain",1989,"Sanjay Dutt","Manivannan",,,NO,"A 1989 Telugu film directed by Manivannan."
0fcf2bc6-f240-4935-b51a-d10669cd7862,"Kanoon Ki Awaaz",1989,"Amaury de Crayencour","R. Kumar",,,NO,""
bac8ce89-b602-4226-a4f9-f1aa7acfc1e8,"Jaadugar",1989,"Vikas Anand","Prakash Mehra",,,NO,"A 1989 Telugu film directed by Prakash Mehra."
5e35da7e-9081-4db9-8f2d-9f5ab3867498,"Gharana",1989,"Asrani","K. Selvaramani",,,NO,""
a2cb19a1-ad74-4938-9289-c8d9edc9ad5f,"Geetanjali",1989,"Nagarjuna Akkineni","Mani Ratnam",,,NO,"A 1989 Telugu film directed by Mani Ratnam."
a4ff9a89-5168-43b2-a11f-5c2fa658ab53,"Vicky Daada",1989,"Ravi Teja","Puri Jagannadh",,,NO,""
9a4b1f30-b41e-4c96-ac7b-debebde74061,"Antima Theerpu",1988,"Suresh Gopi","Joshiy",,,NO,""
340c6c16-3c11-4c71-83c7-1214e94f177d,"Sattam Oru Sathurangam",1988,"Arjun Sarja","Murali Mohan",,,NO,"A 1988 Telugu film directed by Murali Mohan."
7db057f7-a174-4f81-96ea-e0379190a674,"Akarshan",1988,"","Tanvir Ahmed",,,NO,"A 1988 Telugu film directed by Tanvir Ahmed."
c871e4bb-cddf-4376-82a0-e8f808a36be1,"Sone Pe Suhaaga",1988,"Jeetendra","K. Bapayya",,,NO,"A 1988 Telugu film directed by K. Bapayya."
a866b7ff-4f05-403a-ac4f-3b68ed9df103,"Ghar Ghar Ki Kahani",1988,"Govinda","Kalpataru",,,NO,"A 1988 Telugu film directed by Kalpataru."
445b265b-b7fa-4d0f-ad49-a0967b4c631a,"Kirai Dada",1987,"Nagarjuna Akkineni","A. Kodandarami Reddy",,,NO,""
aa3fb5d3-f964-4534-97db-df8481676f2a,"Sankeerthana",1987,"","Jorge Manzano",,,NO,""
e689b93b-df82-4e0f-b218-2cf0f9b77714,"Majaal",1987,"Jeetendra","",,,NO,"A 1987 Telugu film starring Sridevi and Jaya Prada."
a3f8dd6b-bd0e-4a2e-a097-734df7426a7c,"Best Actor",1987,"Rajendra Prasad","Martin Prakkat",,,NO,"A 1987 Telugu film starring Rajendra Prasad and Sonu Gowda."
3add2312-7681-4325-ab02-762a78da7a70,"Swayam Krushi",1987,"Veerendra Babu","Veerendra Babu",,,NO,""
42723858-b7bd-47cd-bc9b-146758488559,"Sindoor",1987,"Shashi Kapoor","K. Ravi Shankar",,,NO,"A 1987 Telugu film directed by K. Ravi Shankar."
f19bec41-1999-46e3-8f2b-511abefe9056,"Watan Ke Rakhwale",1987,"Dharmendra","Rama Rao Tatineni",,,NO,"A 1987 Telugu film directed by Rama Rao Tatineni."
abd4b663-0645-4904-9865-1aa767a8a813,"Dabbevariki Chedu",1987,"Rajendra Prasad","Relangi Narasimha Rao",,,NO,""
07540f9d-50b5-4fdd-85aa-311dcd9295dc,"Kaboye Alludu",1987,"Rajendra Prasad","Relangi Narasimha Rao",,,NO,""
bcf99d1d-facb-4ee6-bdca-841789cd0b5a,"Gandhinagar Rendava Veedhi",1987,"Rajendra Prasad","P. N. Ramachandra Rao",,,NO,""
a784367c-e6c8-4eac-bdd0-19b54530c4a8,"Karma",1986,"Dilip Kumar","Subhash Ghai",,,NO,"A 1986 Telugu film directed by Subhash Ghai."
f9bba0dc-ab55-49ea-b75b-afaab5165f63,"Kodama Simham",1986,"Chiranjeevi","K. Murali Mohana Rao",,,NO,""
d60b0106-384b-4f9e-99b8-d959bb22ca1b,"Sita Rama Kalyanam",1986,"Haranath","N.T. Rama Rao",,,NO,""
ae47e37d-0918-4b12-abaa-abbe390f6a11,"Muddat",1986,"Mithun Chakraborty","K. Bapayya",,,NO,"A 1986 Telugu film directed by K. Bapayya."
216578da-2745-4fc7-9241-e8a432cf768c,"Pyaar Ke Do Pal",1986,"Ray Milland","Rajiv Mehra",,,NO,""
45a1d1d7-b79a-4bcb-a814-0cbe4b36b191,"Aisa Pyaar Kahan",1986,"Glenn Ford","Charles Vidor",,,NO,""
ec820d05-afa3-4498-8a96-b1d6c95b1d22,"Pyar Ke Do Pal",1986,"Mithun Chakraborty","Rajiv Mehra",,,NO,"A 1986 Telugu film directed by Rajiv Mehra."
3ecc24aa-4690-43ac-ad3e-788cb5d5e7dd,"Kashmora",1986,"Karthi","N. B. Chakravarthy",,,NO,""
f63b0962-66a8-4a16-8ac6-dd073920dacb,"Aakhree Raasta",1986,"Sridevi","K. Bhagyaraj",,,NO,"A 1986 Telugu film directed by K. Bhagyaraj starring Sridevi and Jaya Prada."
94e77969-a916-4237-8628-6883292cd740,"Janbaaz",1986,"Feroz Khan","Feroz Khan",,,NO,"A 1986 Telugu film directed by Feroz Khan."
bc766693-9002-4bad-9e34-1a89051ffc4b,"Padaharella Ammayi",1986,"","P. S. Krishna Mohan Reddy",,,NO,""
a1752355-6911-4be3-a806-10dead46b0a5,"Archana Aaradhana",1985,"Mammootty","Sajan",,,NO,"A 1985 Telugu film directed by Sajan."
99b9ec18-86bc-40ed-9e5b-ebdadecefb5c,"Mera Saathi",1985,"Kongara Jaggayya","K. Raghavendra Rao",,,NO,""
c03c3b7c-4ea6-49bf-acd8-cc7a5400f72e,"Zabardast",1985,"Sanjeev Kumar","Nasir Hussain",,,NO,"A 1985 Telugu film directed by Nasir Hussain."
fbc06ae8-0c76-4f77-bd0b-843444a9a2d3,"Balidaan",1985,"Jeetendra","S. A. Chandrasekhar",,,NO,"A 1985 Telugu film directed by S. A. Chandrasekhar starring Sridevi and Sridevi."
8453791a-ad01-471b-9ca6-d20d52e54c1c,"Sharaabi",1984,"Amitabh Bachchan","Prakash Mehra",,,NO,"A 1984 Telugu film directed by Prakash Mehra starring Jaya Prada and Jaya Prada."
874d23ee-a47a-4c6e-8e3b-573059e94e1e,"Inquilaab",1984,"Amitabh Bachchan","Rama Rao Tatineni",,,NO,"A 1984 Telugu film directed by Rama Rao Tatineni."
