ID,Title,Year,Hero,Director,Our Rating,TMDB Rating,Has Poster,Synopsis Preview
ede2f145-a46a-439a-8c6f-1c755c69f76f,"Mysaa",null,"Guru Somasundaram","Rawindra Pulle",,,YES,"Unafraid of war and unwilling to stop until she finds that one answer. She carries no doubts. Only t"
bc217391-6aa5-411d-abc4-76e86c134894,"Janakiram",null,"Nagendra Babu","Ram Prasad Ragutu",,,YES,"Janakiram is a romance-comedy-action film that follows the story of Janakiram, played by Nagendra Ba"
f08bd1ee-a329-4ea7-a792-d28f876a4d4c,"Anaganaga Oka Rowdy",null,"Sumanth","Manu Yagnaa",,,YES,"Anaganaga Oka Rowdy is an action-comedy film that likely revolves around the story of a rowdy or a t"
2526bbf3-a8c0-4df8-9c26-67e54e88ee82,"Sahaa",null,"Kumar Kasaaram","Nishanth Doti",,,YES,""
072c7874-a382-4808-8eb7-c8db98c77de2,"Edhureetha",null,"Sravan Raghavendra","P. Balamurugan",,,YES,"Edhureetha is a heartfelt family entertainer directed by P. Balamurugan. Sravan Raghavendra and Leon"
9b7b604c-6907-4c79-bd7f-dd22d1a3f974,"Devara 2",null,"N. T. Rama Rao Jr.","Koratala Siva",,,YES,"Devara 2 is a high-octane action entertainer directed by Koratala Siva. N.T. Rama Rao Jr. plays the "
4ecb9fda-2af1-4d4b-a558-a86735425de6,"Reppa",null,"Suhas","Filmian",,,YES,"Reppa is a drama, romance, and fantasy film that follows the story of a young man, played by Suhas, "
234da35c-e92e-44a6-99a2-916b40c02752,"Magic",null,"Sara Arjun","Gowtam Tinnanuri",,,YES,"Magic is an emotional drama that explores the depths of human relationships. Directed by Gowtam Tinn"
74bf13e0-bbe3-48de-8eae-3d9b9ba00c5c,"Inner City Blues",null,"Laxman Meesala","Divya Bandaru",,,YES,"Inner City Blues is an emotional drama that explores the depths of human relationships. Directed by "
d20403fb-8432-4565-85c4-961d128206cb,"Well, If You Know Me",2015,"Venkatesh","Meher Ramesh",7,,NO,""
092508fb-f084-443b-aa50-3c6d06b6ec12,"Chennakeshava Reddy",2002,"Nandamuri Balakrishna","V. V. Vinayak",7.8,,NO,""
95639c8c-fad3-4ef9-b2a3-0e1b06040346,"Aaj Ka Goonda Raj",1992,"Chiranjeevi","Ravi Raja Pinisetty",7.4,,NO,""
1d57f0ef-c4ed-4b34-b453-b608ce213ba3,"Chaithanya",1991,"Akkineni Nagarjuna","Prathap Pothan",7.4,,NO,""
6212f700-84e3-4c84-bedc-570a48747a3d,"Nizhal Thedum Nenjangal",1982,"Rajinikanth","P. S. Nivas",8,,NO,""
d230d639-8927-40d7-9889-79f95e18d21f,"Sri Rambantu",1979,"Chiranjeevi","Arudra",7.2,,NO,""
2d2300e8-75f4-40fa-9d89-11b728749949,"Karunai Ullam",1978,"Gemini Ganesan","A. Bhimsingh",7.7,,NO,""
b7aad561-d88c-44b1-bd47-7076d669d0b5,"Jeevana Theeralu",1977,"Krishnam Raju","G. C. Sekhar",7.3,,NO,""
f0b669a6-227e-46c8-bdca-8778aef704d8,"Q12982331",1977,"Akkineni Nageswara Rao","V. B. Rajendra Prasad",7.6,,NO,""
2ced2102-12ab-4391-9e5b-40ae526c7b11,"Amma Mata",1972,"Sobhan Babu","V. Ramachandra Rao",7.4,,NO,""
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,"Iddaru Ammayilu",1972,"Akkineni Nageswara Rao","Putanna Kanagal",7.5,,NO,""
5d98fdb3-4b6e-4037-a7ea-02794d6a00a4,"Shri Krishnavataram",1967,"N. T. Rama Rao","Kamalakara Kameswara Rao",8.1,,NO,""
2142390d-8c14-4236-9aae-eb20edaa95cd,"Shri Krishna Pandaviyam",1966,"N. T. Rama Rao","N. T. Rama Rao",8,,NO,""
3bbeed9a-30c4-458c-827a-11f4df9582c4,"Poojaikku Vandha Malar",1965,"Gemini Ganesan","Muktha Srinivasan",7.7,,NO,""
4bf8c217-ffe2-489d-809d-50a499ac3cd1,"Kai Koduttha Dheivam",1964,"Sivaji Ganesan","K. S. Gopalakrishnan",7.9,,NO,""
7f0b003c-b15f-4087-9003-0efc1d959658,"Paarthaal Pasi Theerum",1962,"Sivaji Ganesan","A. Bhimsingh",8.2,,NO,""
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,"Kaathavaraayan",1958,"Sivaji Ganesan","T. R. Ramanna",7.9,,NO,""
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,"Padhi Bhakti",1958,"Gemini Ganesan","A. Bhimsingh",7.8,,NO,""
f86df043-4436-46ee-a4b6-6889d3b29f2e,"Pathini Deivam",1957,"Gemini Ganesan","Ch. Narayana Murthy",7.7,,NO,""
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,"Bratuku Theruvu",1953,"Akkineni Nageswara Rao","P. S. Ramakrishna Rao",7.6,,NO,""
