Slug,Title (English),Title (Telugu),Release Year,Release Date,Our Rating,Avg Rating,Editorial Score
aa22xa6-tba,"AA22xA6","",,,6,,6.4
mysaa-tba,"Mysaa","",,,6,,6.3
janakiram-tba,"Janakiram","",,,6,,6
anaganaga-oka-rowdy-tba,"Anaganaga Oka Rowdy","",,,6,,6
sahaa-tba,"Sahaa","",,,6,,5.8
edhureetha-tba,"Edhureetha","",,,5,,5.9
devara-2-tba,"Devara 2","",,,7,,6.6
reppa-tba,"Reppa","",,,6,,6.2
as-time-echoes-tba,"As Time Echoes","",,,6,,5.9
umapathi-tba,"Umapathi","",,,6.3,,6
oh-sukumari-tba,"Oh..! Sukumari","",,,6,,6.2
pushpa-3-the-rampage-tba,"Pushpa 3 - The Rampage","",,,5.8,,6.5
takshakudu-tba,"Takshakudu","",,,6,,6.3
comrade-kalyan-tba,"Comrade Kalyan","",,,6,,6.3
illicit-relationship-tba,"Illicit Relationship","",,,6,,6.2
euphoria-tba,"Euphoria","",,,6.3,,6.1
band-melam-tba,"Band Melam","",,,6,,6.1
nakshatra-poratam-tba,"Nakshatra Poratam","",,,6,,6.3
asuragana-rudra-tba,"Asuragana Rudra","",,,6,,6.2
garividi-lakshmi-tba,"Garividi Lakshmi","",,,6,,6.2
dq-41-tba,"DQ 41","",,,6,,6.4
hailesso-tba,"HaiLesso","",,,6,,6.1
arrtham-tba,"Arrtham","",,,6,,6
ene-repeat-tba,"ENE Repeat","",,,6,,6.4
kirathaka-tba,"Kirathaka","",,,6,,6.3
biker-tba,"Biker","",,,6,,6.3
kalki-2898-ad-part-2-tba,"Kalki 2898-AD: Part 2","",,,6,,6.3
abhiram-tba,"Abhiram","",,,6,,6
amaran-in-the-city-chapter-1-tba,"Amaran in the City: Chapter 1","",,,6,,6.1
haindava-tba,"Haindava","",,,6,,6.3
legacy-tba,"Legacy","",,,6,,6.3
maa-inti-bangaram-tba,"Maa Inti Bangaram","",,,6,,6.3
hey-bhagawan-tba,"Hey Bhagawan!","",,,6,,6.3
maate-mantramu-tba,"Maate Mantramu","",,,6.3,,6
natudu-tba,"Natudu","",,,6,,6
bad-boy-karthik-tba,"Bad Boy Karthik","",,,6,,6.2
varanasi-tba,"Vāranāsi","S.S. Rajamouli's వారణాసి",,,5.8,,6.5
patta-pagalu-tba,"Patta Pagalu","",,,6,,5.7
mirai-jaithraya-tba,"Mirai Jaithraya","",,,6,,6.3
they-call-him-og-2-tba,"They Call Him OG 2","",,,6,,6.2
what-the-fish-tba,"What The Fish","",,,6,,6.1
paramanandham-shishyulu-tba,"Paramanandham Shishyulu","",,,6,,5.8
naa-katha-tba,"Naa Katha","",,,6,,6.2
magic-tba,"Magic","Magic",,,5,,6
sambarala-yetti-gattu-tba,"Sambarala Yetti Gattu","",,,6,,6.2
nagabandham-tba,"Nagabandham","నాగబంధం",,,6,,6.1
vrushakarma-tba,"Vrushakarma","",,,6,,6.3
peddarikam-tba,"Peddarikam","",,,6.3,,6
anumana-pakshi-tba,"Anumana Pakshi","",,,6,,6.2
inner-city-blues-tba,"Inner City Blues","Inner City Blues",,,5,,6.2
baahubali-the-eternal-war-part-1-2027,"Baahubali: the Eternal War - Part 1","బాహుబలి: ది ఎటర్నల్ వార్",2027,2027-06-10,7,,6.4
fauji-2026,"Fauji","ఫౌజీ",2026,2026-04-10,5.3,,6.3
goodachari-2-2026,"Goodachari 2","గూఢచారి 2",2026,2026-05-01,6,,6.3
sahakutumbaanaam-2026,"Sahakutumbaanaam","",2026,2026-03-01,6.5,,6.4
ustaad-bhagat-singh-2026,"Ustaad Bhagat Singh","ఉస్తాద్ భగత్ సింగ్",2026,2026-04-17,5.8,,6.2
peddi-2026,"Peddi","పెద్ది",2026,2026-03-27,6.7,,
dacoit-2026,"Dacoit","డకాయిట్",2026,2026-03-19,6.5,,
toxic-yash-2026,"Toxic: A Fairy Tale for Grown-Ups","టాక్సిక్",2026,2026-03-19,,,
spirit,"Spirit","స్పిరిట్",2026,2026-12-01,5.8,,6.3
aakasam-lo-oka-tara-2026,"Aakasam Lo Oka Tara","ఆకాశంలో ఒక తార",2026,2026-03-26,6,,6.6
dragon-ntr-2026,"Dragon","డ్రాగన్",2026,2026-06-25,6,,6.6
om-shanti-shanti-shantihi-2026,"Om Shanti Shanti Shantihi","",2026,2026-01-23,6,,5.8
salaar-part-2-shouryaanga-parvam,"Salaar: Part 2 - Shouryaanga Parvam","",2025,2026-11-14,6.7,,6.4
