Title,Year,Director,Hero,Grade,Confidence,Critical Issues,Warning Issues
"Acharya",2022,"Koratala Siva","Chiranjeevi",B,79%,"title; release_date","synopsis"
"Abhiram",,"Ramakrishna Arjun","Prabhakar",B,75%,"release_date",""
"Ginna",2022,"Eeshaan Surya","Vishnu Manchu",B,77%,"release_date",""
"Robinhood",2025,"Venky Kudumula","Nithiin",B,78%,"title","synopsis"
"Bloody Mary",2022,"Chandoo Mondeti","Kireeti Damaraju",B,78%,"title","synopsis"
"Jana Gana Mana",2022,"Dijo Jose Antony","Prithviraj Sukumaran",B,82%,"title",""
"Coolie",2025,"Lokesh Kanagaraj","Rajinikanth",B,82%,"title",""
"Raju Yadav",2024,"K. Krishnamachary","Getup Srinu",B,78%,"title","synopsis"
"Fighter",2024,"Siddharth Anand","Hrithik Roshan",B,82%,"title; release_date",""
"Sundarakanda",2025,"Venkatesh Nimmalapudi","Nara Rohith",B,78%,"title","synopsis"
"Blind Spot",2025,"Rakesh Varma","Naveen Chandra",B,78%,"title","synopsis"
"Game Changer",2025,"Shankar","Ram Charan",B,77%,"release_date",""
"Aavesham",2024,"Jithu Madhavan","Fahadh Faasil",B,82%,"title",""
"Honeymoon Express",2024,"Bala Rajasekharuni","Tanikella Bharani",B,78%,"title","synopsis"
"Bootcut Balaraju",2024,"Sree Koneti","Sunil Varma",B,77%,"release_date",""
"Ghaati",2025,"Radha Krishna Jagarlamudi","Vikram Prabhu",B,77%,"release_date",""
"Tourist Family",2025,"Abishan Jeevinth","M. Sasikumar",B,81%,"release_date",""
"Bharathanatyam",2024,"KVR Mahendra","Harsha Vardhan",B,78%,"title","synopsis"
"Thala",2025,"Amma Rajasekhar","Rajiv Kanakala",B,80%,"title",""
"Kalinga",2024,"Dhruva Vaayu","Tanikella Bharani",B,80%,"release_date",""
"Suryapet Junction",2025,"Rajesh Nadendla","Eeswar",B,80%,"release_date",""
"Frankenstein",2025,"Guillermo del Toro","Oscar Isaac",B,82%,"title",""
